Source	Target	Weight
143	1	0.13792
228	1	0.13977
588	1	0.14225
750	1	0.34992
1061	1	0.35796
1109	1	0.35738
1262	1	0.35429
1324	1	0.14439
1325	1	0.22342
1353	1	0.12822
1457	1	0.39083
1588	1	0.37718
1649	1	0.3659
1845	1	0.13747
1855	1	0.37723
1856	1	0.36124
1925	1	0.36788
1982	1	0.13325
2059	1	0.37
2086	1	0.38466
2145	1	0.16025
2156	1	0.34871
2172	1	0.38125
2216	1	0.3873
2324	1	0.17435
2370	1	0.36367
2401	1	0.37838
2413	1	0.1785
2422	1	0.38332
3	2	0.20097
4	2	0.24581
5	2	0.16037
6	2	0.18227
7	2	0.40887
13	2	0.38425
16	2	0.3746
237	2	0.38207
657	2	0.36603
733	2	0.36366
738	2	0.37502
828	2	0.36828
829	2	0.36395
960	2	0.14651
1167	2	0.13012
1170	2	0.39335
1521	2	0.39069
1571	2	0.36436
1629	2	0.36788
1630	2	0.36597
1645	2	0.36225
1795	2	0.37347
1797	2	0.37881
1816	2	0.3714
1963	2	0.3861
1986	2	0.38151
2106	2	0.36419
2146	2	0.3657
2315	2	0.36795
2385	2	0.36589
2	3	0.20097
4	3	0.47352
5	3	0.16054
6	3	0.66728
7	3	0.19418
8	3	0.35142
16	3	0.35848
19	3	0.38669
237	3	0.37137
245	3	0.16566
415	3	0.38731
488	3	0.38188
528	3	0.35986
531	3	0.16265
552	3	0.36788
828	3	0.36325
1137	3	0.17296
1170	3	0.36258
1186	3	0.15809
1526	3	0.36392
1547	3	0.37282
1571	3	0.14934
1629	3	0.36813
1630	3	0.36356
1645	3	0.35895
1671	3	0.36725
1763	3	0.35325
1764	3	0.35253
1765	3	0.23241
1795	3	0.36667
1816	3	0.36316
1962	3	0.3927
1963	3	0.46465
1986	3	0.37426
2315	3	0.36858
2385	3	0.36167
2	4	0.24581
3	4	0.47352
5	4	0.17773
6	4	0.41145
7	4	0.44518
16	4	0.37134
237	4	0.36788
245	4	0.41144
531	4	0.13649
657	4	0.36285
738	4	0.37467
828	4	0.36762
829	4	0.36409
1137	4	0.14169
1170	4	0.41739
1186	4	0.12769
1521	4	0.39436
1547	4	0.14139
1571	4	0.14381
1629	4	0.36188
1645	4	0.36313
1765	4	0.19651
1795	4	0.3666
1797	4	0.38164
1816	4	0.36348
1962	4	0.38191
1963	4	0.44523
1986	4	0.36587
2385	4	0.36211
2	5	0.16037
3	5	0.16054
4	5	0.17773
6	5	0.15405
7	5	0.41865
16	5	0.38565
43	5	0.13511
165	5	0.40064
237	5	0.36532
828	5	0.37825
829	5	0.37548
830	5	0.37088
917	5	0.36296
1004	5	0.35989
1170	5	0.35935
1260	5	0.37372
1261	5	0.38669
1526	5	0.38228
1571	5	0.37993
1629	5	0.36938
1630	5	0.36948
1645	5	0.3592
1795	5	0.36377
1816	5	0.3643
1963	5	0.37462
1973	5	0.36376
1986	5	0.36788
2315	5	0.36353
2385	5	0.36082
2	6	0.18227
3	6	0.66728
4	6	0.41145
5	6	0.15405
7	6	0.22654
8	6	0.36275
14	6	0.13366
19	6	0.13937
45	6	0.36028
62	6	0.36516
145	6	0.36788
245	6	0.16175
415	6	0.39551
418	6	0.34403
457	6	0.35456
488	6	0.38383
528	6	0.38517
531	6	0.18577
552	6	0.36877
677	6	0.35254
947	6	0.36404
1121	6	0.35625
1137	6	0.21659
1186	6	0.16999
1228	6	0.37818
1318	6	0.37289
1526	6	0.36093
1547	6	0.14871
1571	6	0.16218
1604	6	0.35623
1629	6	0.35963
1630	6	0.35927
1763	6	0.13839
1764	6	0.14614
1765	6	0.28443
1926	6	0.12748
1962	6	0.38603
1963	6	0.44567
1986	6	0.36199
2202	6	0.36025
2315	6	0.35988
2	7	0.40887
3	7	0.19418
4	7	0.44518
5	7	0.41865
6	7	0.22654
8	7	0.38234
14	7	0.21003
19	7	0.36969
38	7	0.37571
54	7	0.35774
165	7	0.34646
432	7	0.36009
435	7	0.36482
485	7	0.3823
488	7	0.36502
518	7	0.37144
549	7	0.38968
675	7	0.37608
743	7	0.36788
860	7	0.39976
1043	7	0.36631
1121	7	0.15595
1137	7	0.17058
1186	7	0.35505
1223	7	0.35723
1224	7	0.36057
1241	7	0.34114
1265	7	0.36788
1266	7	0.35674
1267	7	0.35997
1318	7	0.36855
1335	7	0.35138
1403	7	0.37157
1416	7	0.16037
1526	7	0.35947
1547	7	0.38039
1571	7	0.16343
1604	7	0.37658
1614	7	0.36629
1705	7	0.37222
1743	7	0.375
1765	7	0.18611
1770	7	0.36788
1837	7	0.39744
1885	7	0.36971
1901	7	0.36304
1926	7	0.36296
2025	7	0.36922
2117	7	0.37052
2157	7	0.36139
2177	7	0.36294
2246	7	0.38221
2354	7	0.37821
2368	7	0.36068
3	8	0.35142
6	8	0.36275
7	8	0.38234
14	8	0.13417
34	8	0.17382
528	8	0.13012
532	8	0.3591
677	8	0.13592
678	8	0.15756
757	8	0.30888
758	8	0.3943
760	8	0.1327
812	8	0.13331
846	8	0.17243
957	8	0.12819
1062	8	0.35162
1099	8	0.38811
1318	8	0.35959
1324	8	0.14964
1379	8	0.1865
1380	8	0.18437
1394	8	0.1463
1540	8	0.35502
1571	8	0.36151
1605	8	0.38549
2030	8	0.3525
2172	8	0.16002
2324	8	0.37717
2394	8	0.36729
2402	8	0.37705
13	9	0.13144
128	9	0.35639
215	9	0.40372
492	9	0.36378
506	9	0.36429
816	9	0.37718
862	9	0.16109
868	9	0.17295
875	9	0.15574
878	9	0.19519
879	9	0.15932
921	9	0.37185
1026	9	0.22434
1028	9	0.36976
1169	9	0.35848
1180	9	0.36284
1241	9	0.38292
1242	9	0.37651
1362	9	0.37489
1419	9	0.15355
1472	9	0.17647
1569	9	0.38176
1577	9	0.36436
1583	9	0.36009
1731	9	0.38582
1798	9	0.39953
2020	9	0.35786
2263	9	0.35747
2362	9	0.36788
11	10	0.3269
120	10	0.44636
122	10	0.37794
125	10	0.39504
237	10	0.39056
329	10	0.39999
350	10	0.35345
351	10	0.33044
515	10	0.35925
558	10	0.36888
657	10	0.35884
700	10	0.30002
789	10	0.36398
828	10	0.36809
829	10	0.36788
830	10	0.42866
935	10	0.24444
970	10	0.3488
1277	10	0.35496
1629	10	0.35781
1645	10	0.36887
1671	10	0.37236
1710	10	0.36471
1795	10	0.38149
1816	10	0.34887
1973	10	0.35684
1986	10	0.36861
2089	10	0.372
2106	10	0.35617
2146	10	0.39269
2315	10	0.35853
2385	10	0.37099
10	11	0.3269
120	11	0.36048
237	11	0.39414
329	11	0.38599
350	11	0.47713
351	11	0.54836
515	11	0.42408
558	11	0.3657
657	11	0.36431
700	11	0.24642
721	11	0.35189
790	11	0.36939
828	11	0.36571
829	11	0.36522
830	11	0.43544
935	11	0.20416
1124	11	0.36671
1129	11	0.14571
1280	11	0.21412
1624	11	0.1439
1629	11	0.36105
1645	11	0.37489
1671	11	0.36858
1710	11	0.37748
1795	11	0.38357
1973	11	0.35933
1986	11	0.36788
2089	11	0.35657
2106	11	0.36248
2146	11	0.40455
2315	11	0.36156
2385	11	0.37425
37	12	0.36833
68	12	0.38754
69	12	0.37864
70	12	0.42164
73	12	0.38122
74	12	0.41786
128	12	0.3668
315	12	0.36358
356	12	0.39017
378	12	0.37723
755	12	0.37714
759	12	0.36461
961	12	0.36358
990	12	0.38665
1021	12	0.36247
1056	12	0.37071
1058	12	0.37185
1180	12	0.39219
1419	12	0.13192
1420	12	0.36448
1425	12	0.41782
1462	12	0.36556
1521	12	0.36788
1535	12	0.1763
1620	12	0.36187
1731	12	0.38061
1797	12	0.38057
1798	12	0.3621
1962	12	0.36274
2	13	0.38425
9	13	0.13144
492	13	0.37727
516	13	0.14973
517	13	0.36065
518	13	0.14624
689	13	0.37241
744	13	0.15305
816	13	0.37973
857	13	0.41025
860	13	0.36087
861	13	0.41942
866	13	0.36222
867	13	0.12397
875	13	0.3505
911	13	0.3539
1026	13	0.35661
1027	13	0.13982
1084	13	0.4299
1165	13	0.35745
1166	13	0.1485
1168	13	0.39017
1427	13	0.18394
1571	13	0.36324
1613	13	0.37447
1651	13	0.13748
2199	13	0.36788
2222	13	0.36888
2424	13	0.38568
6	14	0.13366
7	14	0.21003
8	14	0.13417
38	14	0.36498
54	14	0.38429
406	14	0.36788
416	14	0.38051
485	14	0.35744
518	14	0.15033
524	14	0.36345
529	14	0.18913
532	14	0.14026
564	14	0.37161
565	14	0.36771
566	14	0.36946
672	14	0.35573
675	14	0.37432
676	14	0.19338
677	14	0.13688
760	14	0.14149
