id,size,name,mod_class
1,40,"Aballay, Alejandro",2
2,40.191845,"Abdelmalek, Manal F.",6
3,41.342926,"Choi, Steven Sok",6
4,40,"Diehl, Anna Mae",6
5,40,"Guy, Cynthia Dianne",6
6,42.30216,"Michelotti, Gregory Alexander",2
7,44.79616,"Moylan, Cynthia Ann",10
8,40.191845,"Chen, Wei",2
9,40,"Moser, Barry Kurt",1
10,40.57554,"Nightingale, Kathryn Radabaugh",6
11,40.57554,"Palmeri, Mark L.",6
12,40,"Pang, Herbert",1
13,40,"Cardona, Diana Marcella",1
14,43.45324,"McCall, Shannon Jones",2
15,40.383694,"Smith, Alastair Douglas",1
16,42.110313,"Torquati, Alfonso",6
17,40,"Ashley-Koch, Allison Elizabeth",2
18,40,"Hauser, Michael Arthur",2
19,40.191845,"Murphy, Susan Kay",6
20,40.383694,"Abdulkadiroglu, Atila",4
21,42.494003,"Abernethy, Amy Pickar",1
22,40.767387,"Shelby, Rebecca A",6
23,40.959232,"Keefe, Francis Joseph",6
24,43.645084,"McCrory, Douglas Charles",0
25,40.383694,"Samsa, Gregory P.",0
26,40.959232,"Uronis, Hope Elizabeth",1
27,40.767387,"Morgan, Perri Anne",5
28,40.191845,"Olsen, Maren Karine",0
29,40.383694,"Pollak, Kathryn IIonka",0
30,40.959232,"Strand de Oliveira, Justine",8
31,40.191845,"Tulsky, James Aaron",0
32,42.877697,"LeBlanc, Thomas William",10
33,40.959232,"Herndon II, James Emmett",1
34,40,"Lyerly, Herbert Kim",2
35,40.191845,"Cox, Christopher Ethan",11
36,42.110313,"Kamal, Arif H",1
37,44.220623,"Hirsch, Bradford R",1
38,40.383694,"Seewaldt, Victoria Louise",2
39,43.45324,"Nelson, Kelly Carter",1
40,40.383694,"Hendrix, Cristina Cu",12
41,40,"Landerman, Lawrence Richard",8
42,40,"Ginsburg, Geoffrey Steven",2
43,40.383694,"Blazer III, Dan German",1
44,40.191845,"Blazer, Daniel German",6
45,40,"Mosca, Paul Joseph",2
46,40,"Taylor Jr., Donald H.",9
47,40.383694,"Zafar, Syed Yousuf",1
48,40.383694,"Peppercorn, Jeffrey Matthew",1
49,40.767387,"Gradison, Margaret",10
50,40.383694,"Flynn, Kathryn Eve",4
51,40.383694,"Porter, Laura Streamo",6
52,40.57554,"Weinfurt, Kevin Phillip",10
53,42.30216,"Salama, April Kelly Scott",1
54,40.191845,"Selim, Maria Angelica",2
55,40,"Tyler, Douglas Scott",1
56,40,"Curtis, Lesley Huntley",0
57,40.191845,"Patz Jr., Edward F.",1
58,40,"Schulman, Kevin Alan",8
59,41.53477,"O'Connor, Christopher Michael",0
60,41.342926,"Rogers, Joseph G.",0
61,46.52278,"Koenig, Harold G.",6
62,40,"Pruitt, Scott Knowles",2
63,40.767387,"Scheri, Randall Paul",4
64,40.191845,"Bosworth, Hayden Barry",0
65,40,"Bartlett, John Alexander",12
66,40,"Zullig, Leah L",1
67,40.767387,"Berchuck, Andrew",6
68,41.342926,"Havrilesky, Laura Jean",6
69,50.35971,"Lee, Paula Sowon",6
70,47.865707,"Secord, Angeles Alvarez",1
71,43.645084,"Valea, Fidel Arthur",6
72,40,"Califf, Robert M.",0
73,46.52278,"George, Daniel James",1
74,47.865707,"Harrison, Michael Roger",1
75,42.877697,"Somers, Tamara J.",6
76,68.0096,"Abou-Donia, Mohamed Bahie",6
77,41.151077,"Abraham, Dennis M",2
78,40,"Bursac, Nenad",2
79,42.494003,"Rockman, Howard Allan",6
80,41.72662,"Wolf, Matthew Joseph",2
81,40.959232,"Mao, Lan",10
82,40.383694,"Marchuk, Douglas Alan",2
83,40,"Abraham, Soman Ninan",2
84,40.959232,"Staats, Herman Ford",2
85,41.151077,"Foster, William Michael",2
86,40,"Sempowski, Gregory David",2
87,40.383694,"Hollingsworth II, John William",2
88,40.383694,"Stripp, Barry Raymond",1
89,40.383694,"Leong, Kam",2
90,40,"Kraft, Monica",1
91,42.30216,"Ledford, Julie",2
92,40.191845,"Lugogo, Njira Lucia",1
93,40,"Hale, Laura Pope",11
94,40.191845,"Karhausen, Jorn",11
95,40,"Ma, Qing",11
96,40.57554,"Gunn, Michael Dee",2
97,40.383694,"Hartwig, Matthew",1
98,40.959232,"Lin, Shu Shiuh-Shi",1
99,41.342926,"Parker, William",1
100,41.151077,"Acheson, Shawn K.",6
101,40.383694,"Beckham, Jean Crowell",6
102,40.383694,"Calhoun, Patrick Shields",6
103,40.767387,"Kuhn, Cynthia Moreton",6
104,42.494003,"Swartzwelder, Harry Scott",6
105,42.877697,"Wilson Jr., Wilkie Andrew",6
106,41.151077,"Dedert, Eric",6
107,41.72662,"Moore, Scott Daniel",6
108,42.877697,"Fleming, Rebekah",6
109,41.151077,"Gierisch, Jennifer M.",0
110,42.877697,"Levin, Edward Daniel",6
111,44.604317,"Rezvani, Amir H.",6
112,40.767387,"Bennett, Ellen Ruth",10
113,41.72662,"James, Michael Lucas",6
114,40,"Lascola, Christopher David",2
115,40.191845,"Laskowitz, Daniel Todd",6
116,40.191845,"Vitek, Michael P.",2
117,42.685852,"Wang, Haichen",6
118,40.383694,"Madison, Roger D.",2
119,41.53477,"Klein, Rebecca Christine",2
120,47.482014,"Achneck, Hardean",6
121,42.877697,"Truskey, George A.",6
122,40.767387,"Allen, Jason David",6
123,40.191845,"Lawson, Jeffrey Harold",6
124,41.151077,"Milano, Carmelo Alessio",0
125,43.83693,"Reichert, William M.",6
126,40,"Adair, Bill",4
127,41.342926,"Adam, Soheir Saeed",10
128,40.57554,"Ortel, Thomas Lee",1
129,40.57554,"Williams Jr., John Wiley",0
130,42.30216,"Adams Jr., Samuel Bruce",3
131,43.069546,"DeOrio, James Keith",3
132,41.918465,"Easley, Mark Erik",3
133,40.959232,"Nunley II, James Albert",3
134,40,"Stinnett, Sandra Sue",7
135,40.767387,"Setton, Lori A.",2
136,40,"Queen, Robin Marie",3
137,40.191845,"Bolognesi, Michael Paul",3
138,41.342926,"Toth, Alison Patricia",3
139,40.191845,"Kraus, Virginia Byers",2
140,41.151077,"Schmitt, Daniel Oliver",6
141,42.685852,"Parekh, Selene Gunvant",3
142,40.191845,"Butler, Robert John",3
143,40.959232,"Adams, David John",5
144,42.110313,"Driscoll, Timothy Alan",1
145,40.767387,"Nixon, Andrew Benjamin",2
146,40.57554,"Adams, Martha Bennett",4
147,40,"Grambow, Steven C.",0
148,40.383694,"Oddone, Eugene Zaverio",0
149,40.767387,"Peterson, Eric David",0
150,40.191845,"Shah, Bimal Ramesh",0
151,40.57554,"Adamson, David Cory",6
152,40,"McLendon, Roger Edwin",2
153,41.151077,"Hoffman, Maureane Richardson",6
154,40,"Turner, Dennis Alan",10
155,40.191845,"Bigner, Darell Doty",2
156,40.383694,"Gregory, Simon Gray",2
157,40,"Friedman, Allan Howard",6
158,41.72662,"Lark, Amy Langdon",10
159,40.767387,"Kirkpatrick, John P.",1
160,40.959232,"Kranz, Peter George",1
161,40,"Cummings, Thomas John",7
162,43.069546,"Adamson, Justus D",1
163,41.918465,"Wu, Qiuwen",1
164,40,"Yin, Fang-Fang",1
165,41.151077,"Bowsher, James E.",1
166,40.57554,"Cai, Jing",1
167,41.342926,"Chang, Zheng",1
168,43.069546,"Ren, Lei",1
169,42.685852,"Wang, Zhiheng",1
170,43.26139,"Yoo, Sua",1
171,41.72662,"Horton, Janet Knight",1
172,40.959232,"Palta, Manisha",1
173,40.191845,"Chino, Junzo Paul",1
174,41.918465,"Craciunescu, Oana",1
175,40.959232,"Oldham, Mark",1
176,41.342926,"Yan, Hui",5
177,44.41247,"Adcock, Rachel Alison",6
178,40.767387,"LaBar, Kevin S.",6
179,40.767387,"Huettel, Scott",6
180,46.139088,"Mitroff, Stephen",6
181,44.604317,"Keefe, Richard S.E.",6
182,40,"Kollins, Scott Haden",6
183,40.191845,"Addington, Nicolas Michael",9
184,42.877697,"Aspinwall, Paul Stephen",9
185,40.767387,"Adelino, Manuel Neves",11
186,40.767387,"Adibe, Obinna Ogochukwu",1
187,40.959232,"Agarwal, Pankaj K.",6
188,46.139088,"Yang, Jun",6
189,40.959232,"Clark, James S.",2
190,40.767387,"Gelfand, Alan",6
191,40.191845,"Ahmed, Mohammad Waseem",10
192,42.110313,"Wu, Ying",6
193,40.191845,"Tornow, Werner",5
194,40.767387,"Ahn, Seungkirl",2
195,40.383694,"Lefkowitz, Robert J.",2
196,40.57554,"Shenoy, Sudha Kaup",2
197,40,"Xiao, Kevin",2
198,41.72662,"Oas, Terrence Gilbert",2
199,42.494003,"Ake III, George Simpson",12
200,40.57554,"Briggs-King, Ernestine Cabady",12
201,40.57554,"Fairbank, John A.",12
202,40.57554,"Gerrity, Ellen Terese",5
203,40.57554,"Amaya-Jackson, Lisa M.",12
204,40.191845,"Murphy, Robert A.",12
205,40,"Alam, S. Munir",2
206,42.877697,"Denny, Thomas Norton",2
207,41.151077,"Haynes, Barton Ford",2
208,41.342926,"Kelsoe, Garnett H.",2
209,40,"Liao, Hua-Xin",2
210,50.93525,"McClain, Micah Thomas",2
211,40.383694,"Moody, Michael Anthony",2
212,40.383694,"Tomaras, Georgia Doris",2
213,40.767387,"Vandergrift, Nathan A.",2
214,40,"Walter Jr., Emmanuel Benjamin",10
215,43.26139,"Whitesides, John Franklin",2
216,40,"Woods, Christopher Wildrick",2
217,41.342926,"Yu, Jae-Sung",5
218,40,"Montefiori, David Charles",2
219,42.685852,"Shen, Xiaoying",2
220,40.767387,"Ferrari, Guido",2
221,41.151077,"Bonsignori, Mattia",2
222,41.53477,"Verkoczy, Laurent Karl",2
223,41.151077,"Gao, Feng",2
224,40.959232,"Permar, Sallie Robey",2
225,40.767387,"Zauscher, Stefan",2
226,42.685852,"Spicer, Leonard D.",2
227,40,"Erickson, Harold Paul",2
228,41.53477,"Ohashi, Tomoo",2
229,40.57554,"LaBranche, Celia Crane",2
230,45.755394,"Donald, Bruce Randall",6
231,40.57554,"Alberts, Susan C.",6
232,41.918465,"Morris, William F.",6
233,46.139088,"Pusey, Anne",2
234,41.151077,"Tung, Jenny",2
235,40.383694,"Wray, Gregory Allan",6
236,40,"Mukherjee, Shayan",9
237,58.417267,"Albertson, John D.",6
238,41.918465,"Katul, Gabriel G.",6
239,49.592327,"Marani, Marco",2
240,54.38849,"Albright, Elizabeth A",5
241,40.191845,"Alexander, Barbara Dudley",6
242,40,"Perfect, John Robert",2
243,40.959232,"Reller, Lyman Barth",2
244,41.151077,"Schell, Wiley Alexander",6
245,44.028778,"Johnson, Melissa DePaoli",6
246,40,"Smith, Phillip Brian",0
247,40,"Zaas, Aimee Kirsch",2
248,40,"Benjamin Jr., Daniel Kelly",6
249,42.877697,"Drew, Richard Howard",6
250,41.151077,"Costa, Sylvia Fernandes de Castro",5
251,40.767387,"Howell, David Noble",1
252,40,"Miller, Sara Elizabeth",1
253,41.72662,"Smith, Stephen Richard",1
254,44.220623,"Horan, Jennifer",5
255,41.918465,"Alexander, John Hunter Peel",0
256,41.72662,"Becker, Richard Clinton",0
257,40,"Povsic, Thomas Joseph",0
258,43.069546,"Lopes, Renato Delascio",0
259,40.383694,"Granger, Christopher Bull",0
260,40.383694,"Rao, Sunil Vadlakonda",0
261,40.959232,"Ohman, Erik Magnus",0
262,42.110313,"Piccini Sr., Jonathan Paul",0
263,41.53477,"Hasselblad, Victor",0
264,40,"Levy, Jerrold Henry",0
265,41.72662,"Smith, Peter Kent",0
266,40.191845,"Newby, Laura Kristin",0
267,49.016785,"Krucoff, Mitchell Wolfe",0
268,40,"Mathew, Joseph P.",0
269,40.767387,"Newman, Mark Franklin",0
270,40.191845,"Podgoreanu, Mihai V.",0
271,42.494003,"Al-Khalidi, Hussein Rashid",0
272,42.30216,"Green, Jennifer Brigitte",6
273,40.383694,"Thomas, Laine Elliott",0
274,42.30216,"Glower Jr., Donald D.",0
275,40,"Wang, Andrew",0
276,41.918465,"Al-Khatib, Sana Mustapha",0
277,41.151077,"Patel, Manesh Raman",0
278,44.604317,"Brennan, J. Matthew",0
279,40.191845,"O'Brien, Sean Michael",0
280,42.110313,"Alexander, Karen Patton",0
281,40,"Roe, Matthew Todd",0
282,40.767387,"Wang, Yu-Ping",0
283,49.208633,"Atwater, Brett David",0
284,42.877697,"Bahnson, Tristram Dan",0
285,43.83693,"Daubert, James Patrick",0
286,40,"Harrison, Robert William",5
287,44.604317,"Jones, William Schuyler",0
288,42.110313,"Daneshmand, Mani Ali",0
289,43.26139,"Velazquez, Eric Jose",0
290,43.26139,"Tricoci, Pierluigi",0
291,40.57554,"Anstrom, Kevin J.",0
292,40.191845,"Chow, Shein-Chung",6
293,41.72662,"Lee, Kerry L.",0
294,41.342926,"Pencina, Michael J",0
295,40.191845,"Mathews, Robin",5
296,40.959232,"Allen LaPointe, Nancy Marie",0
297,44.79616,"Melloni, Chiara",0
298,40.383694,"Bettger, Janet Prvu",6
299,40.383694,"Coeytaux, Remy Rene",6
300,40.383694,"Dolor, Rowena Joy",0
301,41.151077,"Graffagnino, Carmelo",0
302,40.383694,"Holsinger, Tracey C.",4
303,42.494003,"Kong, David Franklin",0
304,40.57554,"Kramer, Judith Mae",10
305,41.342926,"Xian, Ying",0
306,40,"Al-Hegelan, Mashael",10
307,40.959232,"Tighe, Robert Matthew",1
308,40.767387,"Cheifetz, Ira Marc",6
309,41.918465,"Ozment, Caroline Pinson",10
310,41.53477,"Rehder, Kyle Jason",6
311,40.383694,"Turner, David Ashley",6
312,41.151077,"Huang, Yuh-Chin Tony",10
313,41.151077,"MacIntyre Jr., Neil Ross",6
314,42.110313,"Ali-Osman, Francis",10
315,41.72662,"Ilyasova, Dora",1
316,41.151077,"Paschen, Wulf",6
317,40.767387,"Pearlstein, Robert D.",10
318,41.151077,"Yang, Wei",6
319,40,"Dewhirst, Mark Wesley",2
320,40.959232,"Hernandez, Adrian Felipe",0
321,40.767387,"Thomas, Kevin Lindsey",0
322,45.179855,"Jones, Robert H.",0
323,42.877697,"Mark, Daniel Benjamin",0
324,40.383694,"Schmidler, Gillian Denise  Sanders",0
325,40,"Kim, Raymond J.",0
326,40,"Douglas, Pamela Susan",0
327,40.191845,"Kosinski, Andrzej Stanislaw",0
328,44.604317,"Eapen, Zubin John",0
329,43.26139,"Hranitzky, Patrick M.",6
330,40.959232,"Koontz, Jason",10
331,40.383694,"Shah, Svati Hasmukh",2
332,40.191845,"Lokhnygina, Yuliya Vladimirovna",0
333,46.71463,"Jackson, Kevin Patrick",0
334,43.45324,"Hegland, Donald Dale",6
335,40.383694,"Anderson, Monique",4
336,41.53477,"Chatterjee, Ranee",0
337,40.767387,"Dupre, Matthew Egan",5
338,42.110313,"Pun, Patrick Hank",6
339,41.151077,"Eisenstein, Eric Leo",0
340,43.069546,"Johnson, Frederick Salvatore",10
341,40,"Allen, Andrew Scott",2
342,40,"Goldstein, David Benjamin",2
343,40.767387,"Heinzen-Cox, Erin Lynne",2
344,40.767387,"Need, Anna Christina",6
345,40.57554,"Shashi, Vandana",6
346,40,"Fowler Jr., Vance Garrison",2
347,43.83693,"Allen, Barry W.",1
348,40,"Piantadosi, Claude Anthony",2
349,40,"Kraus, William Erle",0
350,41.72662,"Dahl, Jeremy",6
351,41.342926,"Trahey, Gregg E.",6
352,40.383694,"Li, Yi-Ju",2
353,40.57554,"Lien, Lillian Frances",0
354,41.53477,"Lin, Pao-Hwa",0
355,40.383694,"Svetkey, Laura Pat",0
356,41.342926,"Blackwell, Kimberly Lynn",1
357,40.57554,"Kimmick, Gretchen Genevieve",1
358,40,"Marcom, Paul Kelly",1
359,40.383694,"Turkington, Timothy Garvey",1
360,40,"Pieper, Carl F.",6
361,42.30216,"Allen, Kelli Dominick",0
362,42.494003,"Coffman, Cynthia Jan",0
363,42.30216,"Datta, Santanu Kumar",0
364,41.53477,"Sperber, Nina",0
365,40.959232,"Strauss, Jennifer Leigh",6
366,40.383694,"Yancy Jr., William Samuel",0
367,41.72662,"Edelman, David Edward",0
368,46.330936,"Hall, Katherine Shepherd",0
369,40.191845,"Hoenig, Helen Marie",10
370,40.191845,"Maciejewski, Matthew Leonard",0
371,40,"Voils, Corrine Ione",0
372,40.767387,"Goode, Adam Payne",3
373,40.191845,"Corsino, Leonor Adalgisa",0
374,40.191845,"Allen, Nancy Bates",5
375,40,"St. Clair, Eugene William",2
376,41.342926,"Clowse, Megan Elizabeth Bowles",10
377,40.57554,"Allen, Terrence Kelburn",0
378,40.767387,"Habib, Ashraf Samir",0
379,42.30216,"Small, Maria Jacqueline",10
380,41.53477,"Jones, Cheryl Ann",0
381,40.383694,"Brown, Haywood Laverne",6
382,40.191845,"Gan, Tong Joo",0
383,40.767387,"Muir, Holly Ann",5
384,40.57554,"Peterson-Layne, Cathleen Louise",4
385,41.151077,"Feng, Liping",6
386,40.383694,"Murtha, Amy Patricia",6
387,41.53477,"Allingham, Robert Rand",2
388,40.767387,"Challa, Pratap",2
389,40.767387,"Herndon Jr., Leon Walker",7
390,40.191845,"Liu, Yutao",2
391,41.151077,"Katsanis, Nicholas",2
392,41.151077,"Klintworth, Gordon Kenneth",2
393,40,"Bowes Rickman, Catherine",2
394,42.30216,"Asrani, Sanjay Girdhari",7
395,41.918465,"Klitzman, Bruce",2
396,41.918465,"Rosdahl, Jullia Ann",5
397,40.767387,"Chiba-Falek, Ornit",2
398,40.959232,"Roses, Allen D.",2
399,40.191845,"Welsh-Bohmer, Kathleen Anne",6
400,40.383694,"Whitfield, Keith E.",6
401,41.72662,"McKinnon, Stuart James",5
402,40.57554,"Muir, Kelly Walton",7
403,40.57554,"Young, Terri Lois",7
404,40.959232,"Stamer, W Daniel",6
405,40,"Oh, Edwin",2
406,40,"Alman, Benjamin Aaron",2
407,40,"Almekinders, Louis Cornelis",4
408,40.767387,"Alspaugh II, James Andrew",2
409,43.45324,"Cox, Gary Matthew",2
410,40.767387,"Stout, Jason Eric",2
411,40.57554,"Beese, Lorena Sue",2
412,44.028778,"Hellinga, Homme Wytzes",2
413,40.191845,"Dietrich, Fred Samuel",2
414,40.191845,"Altomare, Ivy Paige",5
415,40.57554,"Blobe, Gerard Conrad",2
416,40.767387,"Hsu, Shiao-Wen David",1
417,40.767387,"Hurwitz, Herbert Ira",1
418,40.191845,"Morse, Michael Aaron",1
419,40.767387,"Sutton, Linda Marie",4
420,41.53477,"Amaldoss, Wilfred",11
421,41.151077,"Dodge, Kenneth A.",6
422,41.151077,"Ambrus, Attila",12
423,41.151077,"Ames, Warwick Aubrey",0
424,40.57554,"Hill, Kevin Dennis",0
425,40,"Jooste, Edmund Hilton",4
426,44.028778,"Amundsen, Cindy Louise",10
427,43.645084,"Grill, Warren M.",6
428,42.110313,"Webster, George David",10
429,54.38849,"Siddiqui, Nazema Yusuf",6
430,45.179855,"Weidner, Alison Catherine",6
431,51.318947,"Visco, Anthony Gabriele",0
432,82.20624,"Kawasaki, Amie",10
