Source,Target,Weight
33,1,0.43021
152,1,0.33515
155,1,0.39854
159,1,0.36788
194,1,0.37228
195,1,0.36795
196,1,0.36804
197,1,0.36877
228,1,0.37175
414,1,0.35198
415,1,0.36788
472,1,0.39126
524,1,0.3799
525,1,0.31411
526,1,0.31303
527,1,0.42184
528,1,0.38341
531,1,0.35681
688,1,0.34319
704,1,0.36788
770,1,0.39826
771,1,0.38956
845,1,0.29927
846,1,0.43109
880,1,0.30356
992,1,0.35767
993,1,0.30722
994,1,0.29085
995,1,0.3
1001,1,0.39489
1083,1,0.34167
1097,1,0.30316
1109,1,0.35297
1163,1,0.35388
1312,1,0.36914
1313,1,0.3474
1314,1,0.3492
1324,1,0.40137
1339,1,0.38234
1340,1,0.29682
1341,1,0.37412
1342,1,0.32959
1353,1,0.39483
1433,1,0.37446
1436,1,0.25422
1549,1,0.32953
1583,1,0.34205
1615,1,0.37529
1681,1,0.3766
1833,1,0.3538
1899,1,0.47782
2009,1,0.38572
2054,1,0.43354
2059,1,0.38199
2060,1,0.39392
2086,1,0.37058
2145,1,0.35873
2172,1,0.13221
2274,1,0.36654
2353,1,0.39059
2370,1,0.35883
2413,1,0.36391
3,2,0.86822
4,2,0.24014
5,2,0.78007
6,2,0.90896
7,2,0.87702
8,2,0.43832
12,2,0.38662
13,2,0.39255
14,2,0.51329
518,2,0.36269
531,2,0.3655
675,2,0.36484
676,2,0.3638
1030,2,0.36214
1084,2,0.3683
1137,2,0.53453
1266,2,0.37407
1318,2,0.42208
1479,2,0.36266
1547,2,0.36788
1571,2,0.36766
1604,2,0.41947
1763,2,0.36419
1764,2,0.36568
1765,2,0.44315
1837,2,0.84778
1903,2,0.37078
2260,2,0.36635
2334,2,0.3692
2,3,0.86822
4,3,0.59125
5,3,0.68619
6,3,0.9469
7,3,0.97798
8,3,0.43573
12,3,0.3875
13,3,0.39084
14,3,0.5019
518,3,0.36287
531,3,0.36727
675,3,0.36524
676,3,0.36426
1030,3,0.36389
1084,3,0.36788
1137,3,0.52599
1266,3,0.37587
1318,3,0.42053
1479,3,0.36446
1547,3,0.36798
1571,3,0.36722
