id,size,author,mod_class
1,40,"Aballay, Alejandro",2
2,40.191845,"Abdelmalek, Manal F.",6
3,41.342926,"Choi, Steven Sok",6
4,40,"Diehl, Anna Mae",6
5,40,"Guy, Cynthia Dianne",6
6,42.30216,"Michelotti, Gregory Alexander",2
7,44.79616,"Moylan, Cynthia Ann",10
8,40.191845,"Chen, Wei",2
9,40,"Moser, Barry Kurt",1
10,40.57554,"Nightingale, Kathryn Radabaugh",6
11,40.57554,"Palmeri, Mark L.",6
12,40,"Pang, Herbert",1
13,40,"Cardona, Diana Marcella",1
14,43.45324,"McCall, Shannon Jones",2
15,40.383694,"Smith, Alastair Douglas",1
16,42.110313,"Torquati, Alfonso",6
17,40,"Ashley-Koch, Allison Elizabeth",2
18,40,"Hauser, Michael Arthur",2
19,40.191845,"Murphy, Susan Kay",6
20,40.383694,"Abdulkadiroglu, Atila",4
21,42.494003,"Abernethy, Amy Pickar",1
22,40.767387,"Shelby, Rebecca A",6
23,40.959232,"Keefe, Francis Joseph",6
24,43.645084,"McCrory, Douglas Charles",0
25,40.383694,"Samsa, Gregory P.",0
26,40.959232,"Uronis, Hope Elizabeth",1
27,40.767387,"Morgan, Perri Anne",5
28,40.191845,"Olsen, Maren Karine",0
29,40.383694,"Pollak, Kathryn IIonka",0
30,40.959232,"Strand de Oliveira, Justine",8
31,40.191845,"Tulsky, James Aaron",0
32,42.877697,"LeBlanc, Thomas William",10
33,40.959232,"Herndon II, James Emmett",1
34,40,"Lyerly, Herbert Kim",2
35,40.191845,"Cox, Christopher Ethan",11
36,42.110313,"Kamal, Arif H",1
37,44.220623,"Hirsch, Bradford R",1
38,40.383694,"Seewaldt, Victoria Louise",2
39,43.45324,"Nelson, Kelly Carter",1
40,40.383694,"Hendrix, Cristina Cu",12
41,40,"Landerman, Lawrence Richard",8
42,40,"Ginsburg, Geoffrey Steven",2
43,40.383694,"Blazer III, Dan German",1
44,40.191845,"Blazer, Daniel German",6
45,40,"Mosca, Paul Joseph",2
46,40,"Taylor Jr., Donald H.",9
47,40.383694,"Zafar, Syed Yousuf",1
48,40.383694,"Peppercorn, Jeffrey Matthew",1
49,40.767387,"Gradison, Margaret",10
50,40.383694,"Flynn, Kathryn Eve",4
