edge_id,source,target,weight
0,1,2,0.29361
1,1,3,0.36788
2,2,3,0.39955
3,1,4,0.2983
4,2,4,0.33996
5,3,4,0.38698
6,1,5,0.25401
7,2,5,0.082917
8,3,5,0.32867
9,4,5,0.093459
10,1,6,0.064949
11,2,6,0.023558
12,3,6,0.24254
13,4,6,0.020561
14,5,6,0.20332
15,9,10,0.51929
16,6,13,0.36614
17,6,14,0.15099
18,13,14,0.10518
19,8,15,0.30342
20,16,17,0.11842
21,20,21,0.32427
22,20,22,0.32359
23,21,22,0.29721
24,21,24,0.26323
25,27,28,0.26912
26,24,31,0.37521
27,20,35,0.35828
28,21,35,0.12506
29,22,35,0.35201
30,20,36,0.3111
31,21,36,0.17727
32,22,36,0.27747
33,24,36,0.081699
34,31,36,0.23422
35,35,36,0.2877
36,21,37,0.30415
37,31,37,0.38308
38,36,37,0.23917
39,12,38,0.3297
40,30,39,0.36788
41,42,44,0.08667
42,24,45,0.352
43,31,45,0.14236
44,37,45,0.34925
45,20,46,0.32006
46,21,46,0.22296
47,22,46,0.29087
48,24,46,0.24144
49,35,46,0.090333
50,36,46,0.33784
51,37,46,0.2339
52,20,47,0.37819
53,21,47,0.34111
54,22,47,0.38535
55,35,47,0.3584
56,36,47,0.28083
57,46,47,0.33946
58,26,49,0.25561
59,20,50,0.32529
60,21,50,0.31043
61,22,50,0.29919
62,24,50,0.23561
63,35,50,0.14545
64,36,50,0.30188
65,37,50,0.2234
66,46,50,0.36
67,47,50,0.36788
68,23,51,0.38844
69,25,52,0.25305
70,12,53,0.23168
71,42,54,0.36959
72,44,54,0.27043
73,55,58,0.35942
74,25,62,0.3233
75,44,62,0.22856
76,52,62,0.23908
77,27,63,0.39529
78,28,63,0.26557
79,20,65,0.38285
80,21,65,0.35422
81,22,65,0.39794
82,35,65,0.12347
83,36,65,0.31141
84,46,65,0.34185
85,47,65,0.20669
86,50,65,0.36788
87,18,66,0.23203
88,18,67,0.21595
89,66,67,0.092068
90,67,68,0.11086
91,18,69,0.15315
92,66,69,0.053432
93,67,69,0.28387
94,68,69,0.11413
95,68,70,0.9148
96,55,71,0.16994
97,58,71,0.084943
98,52,72,0.28171
99,25,73,0.27125
100,52,73,0.35759
101,72,73,0.39717
102,21,74,0.40592
103,24,74,0.37851
104,31,74,0.35653
105,35,74,0.22345
106,36,74,0.29546
107,37,74,0.10247
108,45,74,0.32478
109,46,74,0.15517
110,47,74,0.23112
111,50,74,0.15525
112,65,74,0.27878
113,78,80,0.20022
114,79,81,0.37002
115,64,83,0.076652
116,85,86,0.32591
117,84,87,0.18507
118,77,88,0.29408
119,84,89,0.23445
120,87,89,0.18339
121,82,90,0.35289
122,86,90,0.38155
123,34,93,0.36788
124,92,93,0.34212
125,93,94,0.41548
126,82,95,0.35477
127,85,95,0.30833
128,86,95,0.30564
129,90,95,0.36004
130,84,96,0.31227
131,87,96,0.3142
132,89,96,0.31186
133,62,97,0.35773
134,96,97,0.37934
135,42,98,0.23012
136,44,98,0.15893
137,54,98,0.31031
138,100,101,0.3838
139,99,103,0.31685
140,99,104,0.3075
141,103,104,0.37819
142,100,105,0.36788
143,101,105,0.36788
144,99,106,0.076062
145,103,106,0.18612
146,104,106,0.1473
147,99,107,0.31982
148,103,107,0.16135
149,104,107,0.10454
150,106,107,0.46191
151,23,108,0.22408
152,51,108,0.17707
153,60,108,0.3531
154,102,109,0.40493
155,102,110,0.14798
156,109,110,0.49655
157,9,111,0.34544
158,10,111,0.35142
159,79,112,0.13083
160,81,112,0.07226
161,9,114,0.32419
162,10,114,0.33981
163,79,114,0.33229
164,112,114,0.36385
165,79,116,0.1211
166,81,116,0.32972
167,112,116,0.16477
168,114,116,0.37855
169,106,117,0.18713
170,107,117,0.24858
171,76,118,0.36765
172,77,120,0.12368
173,119,120,0.1547
174,119,121,0.12803
175,120,121,0.36788
176,59,123,0.56858
177,34,124,0.34719
178,93,124,0.3359
179,94,124,0.33666
180,117,126,0.14854
181,41,127,0.45735
182,23,128,0.28785
183,51,128,0.2285
184,60,128,0.3473
185,108,128,0.25853
186,129,130,0.21068
187,129,131,0.34282
188,130,131,0.11784
189,129,132,0.28089
190,130,132,0.36788
191,131,132,0.23427
192,130,133,0.36029
193,131,133,0.13411
194,132,133,0.12476
195,77,134,0.24009
196,120,134,0.36788
197,119,136,0.35647
198,120,136,0.29768
199,121,136,0.31621
200,135,137,0.14582
201,77,138,0.42002
202,120,138,0.35199
203,134,138,0.18361
204,34,140,0.31355
205,92,140,0.31433
206,93,140,0.28213
