id,author,department,dept_id
0,"Aballay, Alejandro",Molecular Genetics and Microbiology,40
1,"Abdelmalek, Manal F.",Medicine,39
2,"Choi, Steven Sok",Medicine,39
3,"Diehl, Anna Mae",Medicine,39
4,"Guy, Cynthia Dianne",Pathology,47
5,"Michelotti, Gregory Alexander",Medicine,39
6,"Moylan, Cynthia Ann",Medicine,39
7,"Chen, Wei",Medicine,39
8,"Moser, Barry Kurt",Biostatistics & Bioinformatics,9
9,"Nightingale, Kathryn Radabaugh",Biomedical Engineering,8
10,"Palmeri, Mark L.",Biomedical Engineering,8
11,"Pang, Herbert",Biostatistics & Bioinformatics,9
12,"Cardona, Diana Marcella",Pathology,47
13,"McCall, Shannon Jones",Pathology,47
14,"Smith, Alastair Douglas",Medicine,39
15,"Torquati, Alfonso",Surgery,68
16,"Ashley-Koch, Allison Elizabeth",Medicine,39
17,"Hauser, Michael Arthur",Medicine,39
18,"Murphy, Susan Kay",Obstetrics and Gynecology,44
19,"Abdulkadiroglu, Atila",Economics,24
20,"Abernethy, Amy Pickar",Medicine,39
21,"Shelby, Rebecca A",Psychiatry & Behavioral Sciences,55
22,"Keefe, Francis Joseph",Psychiatry & Behavioral Sciences,55
23,"McCrory, Douglas Charles",Medicine,39
24,"Samsa, Gregory P.",Biostatistics & Bioinformatics,9
25,"Uronis, Hope Elizabeth",Medicine,39
26,"Morgan, Perri Anne",Community and Family Medicine,14
27,"Olsen, Maren Karine",Biostatistics & Bioinformatics,9
28,"Pollak, Kathryn IIonka",Community and Family Medicine,14
29,"Strand de Oliveira, Justine",Community and Family Medicine,14
30,"Tulsky, James Aaron",Medicine,39
31,"LeBlanc, Thomas William",Medicine,39
32,"Herndon II, James Emmett",Biostatistics & Bioinformatics,9
33,"Lyerly, Herbert Kim",Surgery,68
34,"Cox, Christopher Ethan",Medicine,39
35,"Kamal, Arif H",Medicine,39
36,"Hirsch, Bradford R",Medicine,39
37,"Seewaldt, Victoria Louise",Medicine,39
38,"Nelson, Kelly Carter",Dermatology,18
39,"Hendrix, Cristina Cu",School of Nursing,63
40,"Landerman, Lawrence Richard",Medicine,39
41,"Ginsburg, Geoffrey Steven",Medicine,39
42,"Blazer III, Dan German",Surgery,68
43,"Blazer, Daniel German",Psychiatry & Behavioral Sciences,55
44,"Mosca, Paul Joseph",Surgery,68
45,"Taylor Jr., Donald H.",Sanford School of Public Policy,61
46,"Zafar, Syed Yousuf",Medicine,39
47,"Peppercorn, Jeffrey Matthew",Medicine,39
48,"Gradison, Margaret",Community and Family Medicine,14
49,"Flynn, Kathryn Eve",Psychiatry & Behavioral Sciences,55
50,"Porter, Laura Streamo",Psychiatry & Behavioral Sciences,55
51,"Weinfurt, Kevin Phillip",Psychiatry & Behavioral Sciences,55
