id,size,name,mod_class,department,dept_id,x,y,fixed
0,40.0,"Aballay, Alejandro",2,Molecular Genetics and Microbiology,40,1206.04,-2292.01,TRUE
1,40.2,"Abdelmalek, Manal F.",6,Medicine,39,2062.51,2054.80,TRUE
2,41.3,"Choi, Steven Sok",6,Medicine,39,2233.67,1237.74,TRUE
3,40.0,"Diehl, Anna Mae",6,Medicine,39,2073.31,1852.03,TRUE
4,40.0,"Guy, Cynthia Dianne",6,Pathology,47,2112.78,2151.85,TRUE
5,42.3,"Michelotti, Gregory Alexander",2,Medicine,39,2125.60,272.15,TRUE
6,44.8,"Moylan, Cynthia Ann",10,Medicine,39,1176.44,-9.23,TRUE
7,40.2,"Chen, Wei",2,Medicine,39,2465.34,-859.02,TRUE
8,40.0,"Moser, Barry Kurt",1,Biostatistics & Bioinformatics,9,1502.26,-371.06,TRUE
9,40.6,"Nightingale, Kathryn Radabaugh",6,Biomedical Engineering,8,2186.36,3022.82,TRUE
10,40.6,"Palmeri, Mark L.",6,Biomedical Engineering,8,2073.57,3288.79,TRUE
11,40.0,"Pang, Herbert",1,Biostatistics & Bioinformatics,9,2000.26,1006.89,TRUE
12,40.0,"Cardona, Diana Marcella",1,Pathology,47,1024.32,-208.86,TRUE
13,43.5,"McCall, Shannon Jones",2,Pathology,47,1399.52,-1799.15,TRUE
14,40.4,"Smith, Alastair Douglas",1,Medicine,39,191.82,357.83,TRUE
15,42.1,"Torquati, Alfonso",6,Surgery,68,1603.78,2139.40,TRUE
16,40.0,"Ashley-Koch, Allison Elizabeth",2,Medicine,39,1601.02,576.11,TRUE
17,40.0,"Hauser, Michael Arthur",2,Medicine,39,1704.76,293.05,TRUE
18,40.2,"Murphy, Susan Kay",6,Obstetrics and Gynecology,44,2190.14,1141.38,TRUE
19,40.4,"Abdulkadiroglu, Atila",4,Economics,24,-3115.89,-2230.92,TRUE
20,42.5,"Abernethy, Amy Pickar",1,Medicine,39,1995.80,715.13,TRUE
21,40.8,"Shelby, Rebecca A",6,Psychiatry & Behavioral Sciences,55,205.45,2271.90,TRUE
22,41.0,"Keefe, Francis Joseph",6,Psychiatry & Behavioral Sciences,55,287.01,2164.24,TRUE
23,43.6,"McCrory, Douglas Charles",0,Medicine,39,1558.33,1038.54,TRUE
24,40.4,"Samsa, Gregory P.",0,Biostatistics & Bioinformatics,9,731.69,965.99,TRUE
25,41.0,"Uronis, Hope Elizabeth",1,Medicine,39,1770.22,-689.01,TRUE
26,40.8,"Morgan, Perri Anne",5,Community and Family Medicine,14,-1888.25,-1011.86,TRUE
27,40.2,"Olsen, Maren Karine",0,Biostatistics & Bioinformatics,9,-81.91,1790.62,TRUE
28,40.4,"Pollak, Kathryn IIonka",0,Community and Family Medicine,14,-258.22,1412.48,TRUE
29,41.0,"Strand de Oliveira, Justine",8,Community and Family Medicine,14,-2431.65,1232.18,TRUE
30,40.2,"Tulsky, James Aaron",0,Medicine,39,-525.32,1614.58,TRUE
31,42.9,"LeBlanc, Thomas William",10,Medicine,39,-639.89,998.56,TRUE
32,41.0,"Herndon II, James Emmett",1,Biostatistics & Bioinformatics,9,2979.31,252.90,TRUE
33,40.0,"Lyerly, Herbert Kim",2,Surgery,68,2430.90,-1208.65,TRUE
34,40.2,"Cox, Christopher Ethan",11,Medicine,39,-200.42,-1617.93,TRUE
35,42.1,"Kamal, Arif H",1,Medicine,39,2521.74,893.84,TRUE
