edge_id,source,target,weight
0,1,2,0.20097
1,1,3,0.24581
2,2,3,0.47352
3,1,4,0.16037
4,2,4,0.16054
5,3,4,0.17773
6,1,5,0.18227
7,2,5,0.66728
8,3,5,0.41145
9,4,5,0.15405
10,1,6,0.40887
11,2,6,0.19418
12,3,6,0.44518
13,4,6,0.41865
14,5,6,0.22654
15,2,7,0.35142
16,5,7,0.36275
17,6,7,0.38234
18,9,10,0.3269
19,1,12,0.38425
20,8,12,0.13144
21,5,13,0.13366
22,6,13,0.21003
23,7,13,0.13417
24,1,15,0.3746
25,2,15,0.35848
26,3,15,0.37134
27,4,15,0.38565
28,16,17,0.17092
29,2,18,0.38669
30,5,18,0.13937
31,6,18,0.36969
32,21,22,0.24274
33,23,24,0.37562
34,20,25,0.12263
35,24,27,0.36994
36,26,28,0.35376
37,27,28,0.15025
38,20,30,0.36834
39,21,30,0.35937
40,22,30,0.38063
41,23,30,0.36264
42,27,30,0.14938
43,28,30,0.14783
44,20,31,0.36314
45,21,31,0.20979
46,30,31,0.38326
47,20,32,0.37343
48,7,33,0.17382
49,32,33,0.16404
50,20,35,0.28682
51,32,35,0.35613
52,11,36,0.36833
53,20,36,0.25006
54,25,36,0.14201
55,32,36,0.35697
56,35,36,0.33939
57,6,37,0.37571
58,13,37,0.36498
59,32,37,0.15588
60,33,37,0.36394
61,20,38,0.3718
62,4,42,0.13511
63,40,43,0.36578
64,5,44,0.36028
65,20,46,0.1806
66,25,46,0.15228
67,32,46,0.35333
68,35,46,0.14253
69,36,46,0.16962
70,20,47,0.27318
71,32,47,0.1399
72,35,47,0.28309
73,36,47,0.29453
74,46,47,0.20263
75,26,49,0.2009
76,21,50,0.25952
77,22,50,0.27665
78,48,51,0.1556
79,25,52,0.24811
80,33,52,0.38528
81,44,52,0.40951
82,6,53,0.35774
83,13,53,0.38429
84,38,53,0.39642
85,25,54,0.39176
86,42,54,0.36335
87,44,54,0.22839
88,52,54,0.39054
89,53,54,0.35453
90,23,55,0.37332
91,48,57,0.37907
92,51,57,0.43314
93,55,57,0.1402
94,58,59,0.38558
95,21,60,0.354
96,22,60,0.38709
97,43,60,0.39182
98,51,60,0.3723
99,5,61,0.36516
100,44,61,0.16023
101,52,61,0.34964
102,54,61,0.17153
103,25,62,0.14373
104,44,62,0.38814
105,52,62,0.15321
106,24,63,0.17619
107,27,63,0.14619
108,28,63,0.12822
109,20,65,0.40732
110,28,65,0.37594
111,35,65,0.40109
112,36,65,0.39556
113,39,65,0.36714
114,46,65,0.21959
115,47,65,0.39915
116,63,65,0.35793
117,18,66,0.15495
118,11,67,0.38754
119,66,67,0.36798
120,11,68,0.37864
121,18,68,0.38837
122,20,68,0.35039
123,23,68,0.36537
124,35,68,0.38524
125,66,68,0.46134
126,67,68,0.48833
