0,1,2,0.86166
1,1,3,0.22654
2,2,3,0.57246
3,1,4,0.76741
4,2,4,0.67137
5,3,4,0.30016
6,1,5,0.90526
7,2,5,0.94238
8,3,5,0.20745
9,4,5,0.71083
10,1,6,0.87092
11,2,6,0.97768
12,3,6,0.57427
13,4,6,0.67999
14,5,6,0.95146
15,1,7,0.42046
16,2,7,0.41694
17,3,7,0.51849
18,4,7,0.42852
19,5,7,0.41882
20,6,7,0.41744
21,9,10,0.78008
22,1,11,0.36788
23,2,11,0.36788
24,3,11,0.39287
25,4,11,0.36788
26,5,11,0.36788
27,6,11,0.36788
28,1,12,0.37296
29,2,12,0.37031
30,3,12,0.41085
31,4,12,0.37328
32,5,12,0.37064
33,6,12,0.37046
34,1,13,0.49469
35,2,13,0.4823
36,3,13,0.33095
37,4,13,0.51255
38,5,13,0.48616
39,6,13,0.48316
40,7,13,0.45278
41,11,13,0.32554
42,12,13,0.46166
43,16,17,0.27608
44,21,22,0.4508
45,20,24,0.37341
46,20,25,0.15923
47,24,25,0.40482
48,15,26,0.11166
49,20,27,0.37845
50,15,28,0.28714
51,20,28,0.3783
52,24,28,0.31509
53,26,28,0.24982
54,27,28,0.34713
55,26,29,0.27519
56,20,30,0.34863
57,24,30,0.26561
58,25,30,0.39329
59,20,31,0.32568
60,24,31,0.37593
61,25,31,0.34472
62,30,31,0.14714
63,0,32,0.41865
64,20,33,0.12974
65,24,33,0.33331
66,25,33,0.15065
67,30,33,0.32042
68,31,33,0.31295
69,20,35,0.32973
70,24,35,0.15895
71,25,35,0.36788
72,28,35,0.30379
73,30,35,0.41568
74,31,35,0.41674
75,33,35,0.31489
76,20,36,0.34228
77,24,36,0.28054
78,25,36,0.4235
79,30,36,0.41025
80,31,36,0.12831
81,33,36,0.3188
82,35,36,0.22389
83,40,43,0.41786
84,42,44,0.33339
85,20,45,0.3604
86,24,45,0.1966
87,25,45,0.40169
88,30,45,0.28191
89,31,45,0.12598
90,33,45,0.34119
91,35,45,0.22643
92,36,45,0.25178
93,20,46,0.17643
94,24,46,0.36832
95,25,46,0.18856
96,30,46,0.35673
97,31,46,0.3289
98,33,46,0.10663
99,35,46,0.33992
100,36,46,0.36788
101,45,46,0.36791
102,20,47,0.19352
103,24,47,0.36788
104,25,47,0.22549
105,30,47,0.35741
106,31,47,0.3356
107,33,47,0.1531
108,35,47,0.34184
109,36,47,0.37483
110,45,47,0.36788
111,46,47,0.24171
112,20,49,0.10733
113,21,49,0.35977
114,22,49,0.4057
115,27,49,0.35569
116,32,49,0.34545
117,33,49,0.32862
118,46,49,0.085188
119,47,49,0.085807
120,21,50,0.21365
121,22,50,0.39345
122,49,50,0.34535
123,48,51,0.24828
124,25,52,0.37617
125,33,52,0.11707
126,42,52,0.34804
127,44,52,0.34328
128,12,53,0.24755
129,38,53,0.36788
130,27,54,0.35155
131,42,54,0.38305
132,44,54,0.17949
133,52,54,0.13534
134,15,55,0.23765
135,20,55,0.40652
136,24,55,0.32027
137,26,55,0.28095
138,27,55,0.35745
139,28,55,0.15336
140,48,57,0.3514
141,51,57,0.32168
142,52,61,0.36311
143,54,61,0.34471
144,25,62,0.34847
145,26,62,0.27859
146,28,62,0.32375
147,42,62,0.12982
148,44,62,0.12352
149,52,62,0.14535
150,54,62,0.22912
151,55,62,0.36724
152,20,63,0.18057
153,24,63,0.4021
154,25,63,0.34218
155,27,63,0.14926
156,28,63,0.14873
157,30,63,0.34575
158,31,63,0.32099
159,35,63,0.32849
160,36,63,0.33094
161,45,63,0.35604
162,46,63,0.3742
163,47,63,0.34756
164,49,63,0.34853
165,55,63,0.17488
166,20,65,0.11393
167,27,65,0.34585
168,28,65,0.31612
169,46,65,0.16372
170,49,65,0.094936
171,63,65,0.36788
172,64,65,0.3872
173,18,66,0.13589
174,18,67,0.17382
175,66,67,0.18532
176,18,68,0.073613
177,66,68,0.41997
178,67,68,0.2022
179,18,69,0.1239
180,66,69,0.36906
181,67,69,0.39039
182,68,69,0.49472
183,18,70,0.10174
184,66,70,0.50279
185,67,70,0.2496
186,68,70,0.7117
187,69,70,0.60844
188,58,71,0.11868
189,52,72,0.37237
190,61,72,0.35311
191,47,73,0.3248
192,52,73,0.36872
193,61,73,0.34761
194,72,73,0.68061
195,21,74,0.23744
196,22,74,0.39627
197,49,74,0.34323
198,50,74,0.8371
199,76,78,0.6791
200,76,79,0.77525
201,78,79,0.60896
202,76,80,0.56836
203,78,80,0.58228
204,79,80,0.5201
205,76,81,0.38135
206,78,81,0.37245
207,79,81,0.38517
208,80,81,0.36798
209,82,83,0.25598
210,84,86,0.30118
211,86,87,0.24486
212,77,88,0.4504
213,8,89,0.425
214,84,89,0.077074
215,86,89,0.057924
216,84,90,0.37496
217,85,90,0.38943
218,8,91,0.34981
219,23,91,0.29283
220,89,91,0.14151
221,82,92,0.1444
222,82,93,0.064567
223,92,93,0.17954
224,82,94,0.35024
225,92,94,0.045577
226,93,94,0.024033
227,82,95,0.33522
228,84,95,0.23418
229,86,95,0.15422
230,89,95,0.30323
231,90,95,0.42571
232,84,96,0.32445
233,89,96,0.12977
234,91,96,0.34417
235,84,97,0.077621
236,86,97,0.061033
237,89,97,0.17057
238,96,97,0.2808
239,14,98,0.051838
240,84,98,0.35476
241,86,98,0.33266
242,89,98,0.15613
243,96,98,0.14693
244,97,98,0.27776
245,100,101,0.5482
246,99,102,0.38383
247,99,103,0.71395
248,102,103,0.37173
249,99,104,0.74606
250,102,104,0.37446
251,103,104,0.93705
252,100,105,0.36788
253,101,105,0.35508
254,99,106,0.60262
255,102,106,0.40762
256,103,106,0.71044
257,104,106,0.70717
258,99,107,0.63528
259,102,107,0.36748
260,103,107,0.87826
261,104,107,0.8429
262,106,107,0.71738
263,18,108,0.15539
264,23,108,0.22787
265,39,108,0.14719
266,66,108,0.18705
267,67,108,0.26679
268,68,108,0.23777
269,69,108,0.22661
270,70,108,0.20858
271,78,109,0.36118
272,99,109,0.40647
273,102,109,0.31026
274,103,109,0.39806
275,104,109,0.39981
276,106,109,0.43082
277,107,109,0.39374
278,78,110,0.3464
279,99,110,0.36788
280,102,110,0.44079
281,103,110,0.3704
282,104,110,0.37025
283,106,110,0.38197
284,107,110,0.37124
285,109,110,0.46321
286,9,111,0.60313
287,10,111,0.50244
288,9,112,0.33486
289,10,112,0.33766
290,111,112,0.34767
291,9,114,0.37275
292,10,114,0.37164
293,111,114,0.39462
294,112,114,0.41029
295,112,115,0.29369
296,114,115,0.25849
