Source,Target,Weight
143,1,0.35907
194,1,0.14342
196,1,0.13481
227,1,0.34864
228,1,0.15063
412,1,0.3487
588,1,0.35532
811,1,0.36369
812,1,0.12359
845,1,0.36389
1162,1,0.1297
1163,1,0.12952
1262,1,0.35597
1324,1,0.23238
1325,1,0.16201
1353,1,0.12633
1355,1,0.3466
1457,1,0.38322
1588,1,0.13027
1615,1,0.14483
1845,1,0.35952
1855,1,0.12877
1903,1,0.15397
1925,1,0.34901
1982,1,0.14128
2054,1,0.35741
2059,1,0.15682
2060,1,0.15238
2086,1,0.15715
2145,1,0.16064
2172,1,0.14164
2216,1,0.34825
2324,1,0.20156
2370,1,0.15557
2413,1,0.17438
2422,1,0.13619
3,2,0.28208
4,2,0.33972
5,2,0.22826
6,2,0.26037
7,2,0.26458
13,2,0.38894
14,2,0.14985
237,2,0.36238
518,2,0.3383
827,2,0.36584
828,2,0.37361
829,2,0.37196
960,2,0.13735
1084,2,0.32158
1137,2,0.37067
1170,2,0.14885
1332,2,0.3671
1521,2,0.38803
1526,2,0.35885
1547,2,0.36501
1571,2,0.15921
1629,2,0.35983
1630,2,0.35824
1635,2,0.36895
1636,2,0.36788
1698,2,0.37703
1765,2,0.15176
1795,2,0.35856
1797,2,0.37849
1837,2,0.39869
1962,2,0.36792
1963,2,0.38502
1973,2,0.36097
1986,2,0.36445
2,3,0.28208
4,3,0.58256
5,3,0.22882
6,3,0.75519
7,3,0.35909
8,3,0.35213
14,3,0.14926
19,3,0.34054
62,3,0.35261
237,3,0.3617
245,3,0.36823
528,3,0.34412
531,3,0.14897
827,3,0.36836
828,3,0.37552
829,3,0.37283
1137,3,0.20584
1170,3,0.36668
1186,3,0.36252
1228,3,0.36733
1318,3,0.38822
1332,3,0.36738
1526,3,0.36292
1547,3,0.39492
1571,3,0.36385
1604,3,0.1378
1629,3,0.36325
1635,3,0.36825
1636,3,0.36774
1763,3,0.35977
1764,3,0.37931
1765,3,0.34428
1789,3,0.3637
1837,3,0.14756
1962,3,0.40197
1963,3,0.43379
1986,3,0.36453
2055,3,0.36788
2315,3,0.36157
2,4,0.33972
3,4,0.58256
5,4,0.24912
6,4,0.5364
7,4,0.30963
14,4,0.16705
237,4,0.35725
531,4,0.13084
827,4,0.36384
828,4,0.36968
829,4,0.36788
1137,4,0.1827
1170,4,0.1474
1228,4,0.35873
1332,4,0.36347
1521,4,0.38436
1547,4,0.1614
1571,4,0.15178
1604,4,0.37301
1635,4,0.36092
1636,4,0.36097
1698,4,0.35808
1764,4,0.34967
1765,4,0.30138
1797,4,0.3742
1837,4,0.42056
1962,4,0.38463
1963,4,0.41462
1986,4,0.35893
2055,4,0.35997
2,5,0.22826
3,5,0.22882
4,5,0.24912
6,5,0.22099
7,5,0.2217
14,5,0.1537
76,5,0.36788
165,5,0.36305
827,5,0.37844
828,5,0.38096
829,5,0.37984
830,5,0.37143
965,5,0.36023
1137,5,0.35158
1170,5,0.36228
1332,5,0.36988
1526,5,0.37894
1547,5,0.13656
1571,5,0.14734
1629,5,0.36403
1630,5,0.36364
1635,5,0.36674
1636,5,0.36708
1698,5,0.36903
1765,5,0.14355
1837,5,0.41211
1962,5,0.37005
1963,5,0.38053
1973,5,0.36776
1986,5,0.36242
2,6,0.26037
3,6,0.75519
4,6,0.5364
5,6,0.22099
7,6,0.36073
8,6,0.35624
14,6,0.16699
19,6,0.33956
62,6,0.36828
245,6,0.3746
415,6,0.34676
528,6,0.36275
531,6,0.1687
747,6,0.36343
827,6,0.36329
828,6,0.36727
829,6,0.36421
884,6,0.35775
947,6,0.3484
1137,6,0.23436
1186,6,0.36788
1228,6,0.38358
1229,6,0.12589
1266,6,0.36807
1318,6,0.14539
1332,6,0.35926
1416,6,0.36788
1479,6,0.36429
1547,6,0.1524
1571,6,0.136
1604,6,0.13408
1635,6,0.36055
1636,6,0.35968
1763,6,0.13793
1764,6,0.1569
1765,6,0.39933
1837,6,0.16137
1926,6,0.3335
1962,6,0.39686
1963,6,0.42518
2055,6,0.36329
2202,6,0.36101
2,7,0.26458
3,7,0.35909
4,7,0.30963
5,7,0.2217
6,7,0.36073
8,7,0.37473
12,7,0.37023
13,7,0.33973
14,7,0.20369
19,7,0.34727
76,7,0.36507
549,7,0.37218
675,7,0.36788
743,7,0.36788
750,7,0.37058
827,7,0.3643
828,7,0.36365
860,7,0.35353
965,7,0.36338
1121,7,0.15387
1137,7,0.19066
1170,7,0.14381
1266,7,0.37874
1318,7,0.38327
1416,7,0.16424
1547,7,0.38914
1571,7,0.40923
1604,7,0.15395
1635,7,0.36275
1698,7,0.13858
1705,7,0.39131
1765,7,0.22908
1770,7,0.36447
1837,7,0.30405
1962,7,0.37512
1963,7,0.38054
2117,7,0.36413
2177,7,0.36391
2246,7,0.38426
2354,7,0.36948
3,8,0.35213
6,8,0.35624
7,8,0.37473
14,8,0.35162
34,8,0.14739
678,8,0.15023
757,8,0.31586
758,8,0.16304
812,8,0.36569
846,8,0.13303
957,8,0.37711
1062,8,0.35975
1099,8,0.15681
1318,8,0.36095
1324,8,0.35643
1379,8,0.20907
1380,8,0.22158
1394,8,0.12616
1412,8,0.36788
1467,8,0.38058
1540,8,0.13629
1605,8,0.15741
1890,8,0.13115
2116,8,0.3639
2172,8,0.18907
2286,8,0.13724
2324,8,0.37196
2394,8,0.13162
2401,8,0.40402
2402,8,0.14162
215,9,0.15201
516,9,0.35806
688,9,0.36242
862,9,0.16594
868,9,0.15398
871,9,0.35925
875,9,0.16824
878,9,0.18813
879,9,0.16684
1026,9,0.20022
1028,9,0.36379
1083,9,0.36047
1236,9,0.35692
1238,9,0.38829
1241,9,0.15677
1242,9,0.39823
1419,9,0.14787
1472,9,0.17526
1569,9,0.13913
1570,9,0.14068
1577,9,0.38285
1583,9,0.36788
1731,9,0.36105
1750,9,0.36516
1751,9,0.36635
1798,9,0.40514
2043,9,0.36746
2263,9,0.37327
2362,9,0.14725
11,10,0.3812
112,10,0.14617
120,10,0.16457
121,10,0.13928
122,10,0.38449
125,10,0.14828
237,10,0.35391
329,10,0.38119
330,10,0.14913
350,10,0.42125
351,10,0.39745
515,10,0.39859
553,10,0.33458
558,10,0.33383
641,10,0.12929
700,10,0.35894
827,10,0.37969
828,10,0.39323
829,10,0.39375
830,10,0.49269
935,10,0.35709
1560,10,0.36316
1629,10,0.36921
1630,10,0.36788
1635,10,0.35427
1636,10,0.35527
1645,10,0.36784
1671,10,0.37003
1795,10,0.372
2089,10,0.36462
2315,10,0.36671
2385,10,0.36605
10,11,0.3812
112,11,0.14197
120,11,0.35932
237,11,0.35809
329,11,0.37057
330,11,0.13449
350,11,0.58192
351,11,0.63886
515,11,0.16854
558,11,0.33533
