Id	Name	Department
1	"Aballay, Alejandro"	Molecular Genetics and Microbiology
2	"Abdelmalek, Manal F."	Medicine
3	"Choi, Steven Sok"	Medicine
4	"Diehl, Anna Mae"	Medicine
5	"Guy, Cynthia Dianne"	Pathology
6	"Michelotti, Gregory Alexander"	Medicine
7	"Moylan, Cynthia Ann"	Medicine
8	"Chen, Wei"	Medicine
9	"Moser, Barry Kurt"	Biostatistics & Bioinformatics
10	"Nightingale, Kathryn Radabaugh"	Biomedical Engineering
11	"Palmeri, Mark L."	Biomedical Engineering
12	"Pang, Herbert"	Biostatistics & Bioinformatics
13	"Cardona, Diana Marcella"	Pathology
14	"McCall, Shannon Jones"	Pathology
15	"Smith, Alastair Douglas"	Medicine
16	"Torquati, Alfonso"	Surgery
17	"Ashley-Koch, Allison Elizabeth"	Medicine
18	"Hauser, Michael Arthur"	Medicine
19	"Murphy, Susan Kay"	Obstetrics and Gynecology
20	"Abdulkadiroglu, Atila"	Economics
21	"Abernethy, Amy Pickar"	Medicine
22	"Shelby, Rebecca A"	Psychiatry & Behavioral Sciences
23	"Keefe, Francis Joseph"	Psychiatry & Behavioral Sciences
24	"McCrory, Douglas Charles"	Medicine
25	"Samsa, Gregory P."	Biostatistics & Bioinformatics
26	"Uronis, Hope Elizabeth"	Medicine
27	"Morgan, Perri Anne"	Community and Family Medicine
28	"Olsen, Maren Karine"	Biostatistics & Bioinformatics
29	"Pollak, Kathryn IIonka"	Community and Family Medicine
30	"Strand de Oliveira, Justine"	Community and Family Medicine
31	"Tulsky, James Aaron"	Medicine
32	"LeBlanc, Thomas William"	Medicine
33	"Herndon II, James Emmett"	Biostatistics & Bioinformatics
34	"Lyerly, Herbert Kim"	Surgery
35	"Cox, Christopher Ethan"	Medicine
36	"Kamal, Arif H"	Medicine
37	"Hirsch, Bradford R"	Medicine
38	"Seewaldt, Victoria Louise"	Medicine
39	"Nelson, Kelly Carter"	Dermatology
40	"Hendrix, Cristina Cu"	School of Nursing
41	"Landerman, Lawrence Richard"	Medicine
42	"Ginsburg, Geoffrey Steven"	Medicine
43	"Blazer III, Dan German"	Surgery
44	"Blazer, Daniel German"	Psychiatry & Behavioral Sciences
45	"Mosca, Paul Joseph"	Surgery
46	"Taylor Jr., Donald H."	Sanford School of Public Policy
47	"Zafar, Syed Yousuf"	Medicine
48	"Peppercorn, Jeffrey Matthew"	Medicine
49	"Gradison, Margaret"	Community and Family Medicine
50	"Flynn, Kathryn Eve"	Psychiatry & Behavioral Sciences
51	"Porter, Laura Streamo"	Psychiatry & Behavioral Sciences
52	"Weinfurt, Kevin Phillip"	Psychiatry & Behavioral Sciences
53	"Salama, April Kelly Scott"	Medicine
54	"Selim, Maria Angelica"	Pathology
55	"Tyler, Douglas Scott"	Surgery
56	"Curtis, Lesley Huntley"	Medicine
57	"Patz Jr., Edward F."	Radiology
58	"Schulman, Kevin Alan"	Medicine
59	"O'Connor, Christopher Michael"	Medicine
60	"Rogers, Joseph G."	Medicine
61	"Koenig, Harold G."	Psychiatry & Behavioral Sciences
62	"Pruitt, Scott Knowles"	Surgery
63	"Scheri, Randall Paul"	Surgery
64	"Bosworth, Hayden Barry"	Medicine
65	"Bartlett, John Alexander"	Medicine
66	"Zullig, Leah L"	Medicine
67	"Berchuck, Andrew"	Obstetrics and Gynecology
68	"Havrilesky, Laura Jean"	Obstetrics and Gynecology
69	"Lee, Paula Sowon"	Obstetrics and Gynecology
70	"Secord, Angeles Alvarez"	Obstetrics and Gynecology
71	"Valea, Fidel Arthur"	Obstetrics and Gynecology
72	"Califf, Robert M."	Medicine
73	"George, Daniel James"	Medicine
74	"Harrison, Michael Roger"	Medicine
75	"Somers, Tamara J."	Psychiatry & Behavioral Sciences
76	"Abou-Donia, Mohamed Bahie"	Pharmacology & Cancer Biology
77	"Abraham, Dennis M"	Medicine
78	"Bursac, Nenad"	Biomedical Engineering
79	"Rockman, Howard Allan"	Medicine
80	"Wolf, Matthew Joseph"	Medicine
81	"Mao, Lan"	Medicine
82	"Marchuk, Douglas Alan"	Molecular Genetics and Microbiology
83	"Abraham, Soman Ninan"	Pathology
84	"Staats, Herman Ford"	Pathology
85	"Foster, William Michael"	Medicine
86	"Sempowski, Gregory David"	Medicine
87	"Hollingsworth II, John William"	Medicine
88	"Stripp, Barry Raymond"	Medicine
89	"Leong, Kam"	Biomedical Engineering
90	"Kraft, Monica"	Medicine
91	"Ledford, Julie"	Medicine
92	"Lugogo, Njira Lucia"	Medicine
93	"Hale, Laura Pope"	Pathology
94	"Karhausen, Jorn"	Anesthesiology
95	"Ma, Qing"	Anesthesiology
96	"Gunn, Michael Dee"	Medicine
97	"Hartwig, Matthew"	Surgery
98	"Lin, Shu Shiuh-Shi"	Surgery
99	"Parker, William"	Surgery
100	"Acheson, Shawn K."	Psychiatry & Behavioral Sciences
101	"Beckham, Jean Crowell"	Psychiatry & Behavioral Sciences
102	"Calhoun, Patrick Shields"	Psychiatry & Behavioral Sciences
103	"Kuhn, Cynthia Moreton"	Pharmacology & Cancer Biology
104	"Swartzwelder, Harry Scott"	Psychiatry & Behavioral Sciences
105	"Wilson Jr., Wilkie Andrew"	Social Science Research Institute
106	"Dedert, Eric"	Psychiatry & Behavioral Sciences
107	"Moore, Scott Daniel"	Psychiatry & Behavioral Sciences
108	"Fleming, Rebekah"	Psychiatry & Behavioral Sciences
109	"Gierisch, Jennifer M."	Medicine
110	"Levin, Edward Daniel"	Psychiatry & Behavioral Sciences
111	"Rezvani, Amir H."	Psychiatry & Behavioral Sciences
112	"Bennett, Ellen Ruth"	Neurology
113	"James, Michael Lucas"	Anesthesiology
114	"Lascola, Christopher David"	Radiology
115	"Laskowitz, Daniel Todd"	Neurology
116	"Vitek, Michael P."	Neurology
117	"Wang, Haichen"	Neurology
118	"Madison, Roger D."	Surgery
119	"Klein, Rebecca Christine"	Psychiatry & Behavioral Sciences
120	"Achneck, Hardean"	Surgery
121	"Truskey, George A."	Biomedical Engineering
122	"Allen, Jason David"	Community and Family Medicine
123	"Lawson, Jeffrey Harold"	Surgery
124	"Milano, Carmelo Alessio"	Surgery
125	"Reichert, William M."	Biomedical Engineering
126	"Adair, Bill"	Sanford School of Public Policy
127	"Adam, Soheir Saeed"	Medicine
128	"Ortel, Thomas Lee"	Medicine
129	"Williams Jr., John Wiley"	Medicine
130	"Adams Jr., Samuel Bruce"	Orthopaedics
131	"DeOrio, James Keith"	Orthopaedics
132	"Easley, Mark Erik"	Orthopaedics
133	"Nunley II, James Albert"	Orthopaedics
134	"Stinnett, Sandra Sue"	Biostatistics & Bioinformatics
135	"Setton, Lori A."	Biomedical Engineering
136	"Queen, Robin Marie"	Orthopaedics
137	"Bolognesi, Michael Paul"	Orthopaedics
138	"Toth, Alison Patricia"	Orthopaedics
139	"Kraus, Virginia Byers"	Medicine
140	"Schmitt, Daniel Oliver"	Evolutionary Anthropology
141	"Parekh, Selene Gunvant"	Orthopaedics
142	"Butler, Robert John"	Community and Family Medicine
143	"Adams, David John"	Medicine
144	"Driscoll, Timothy Alan"	Pediatrics
145	"Nixon, Andrew Benjamin"	Medicine
146	"Adams, Martha Bennett"	Medicine
147	"Grambow, Steven C."	Biostatistics & Bioinformatics
148	"Oddone, Eugene Zaverio"	Medicine
149	"Peterson, Eric David"	Medicine
150	"Shah, Bimal Ramesh"	Medicine
151	"Adamson, David Cory"	Surgery
152	"McLendon, Roger Edwin"	Pathology
153	"Hoffman, Maureane Richardson"	Pathology
154	"Turner, Dennis Alan"	Surgery
155	"Bigner, Darell Doty"	Pathology
156	"Gregory, Simon Gray"	Medicine
157	"Friedman, Allan Howard"	Surgery
158	"Lark, Amy Langdon"	Pathology
159	"Kirkpatrick, John P."	Radiation Oncology
160	"Kranz, Peter George"	Radiology
161	"Cummings, Thomas John"	Pathology
162	"Adamson, Justus D"	Radiation Oncology
163	"Wu, Qiuwen"	Radiation Oncology
164	"Yin, Fang-Fang"	Radiation Oncology
165	"Bowsher, James E."	Radiation Oncology
166	"Cai, Jing"	Radiation Oncology
167	"Chang, Zheng"	Radiation Oncology
168	"Ren, Lei"	Radiation Oncology
169	"Wang, Zhiheng"	Radiation Oncology
170	"Yoo, Sua"	Radiation Oncology
171	"Horton, Janet Knight"	Radiation Oncology
172	"Palta, Manisha"	Radiation Oncology
173	"Chino, Junzo Paul"	Radiation Oncology
174	"Craciunescu, Oana"	Radiation Oncology
175	"Oldham, Mark"	Radiation Oncology
176	"Yan, Hui"	Radiation Oncology
177	"Adcock, Rachel Alison"	Psychiatry & Behavioral Sciences
178	"LaBar, Kevin S."	Psychology and Neuroscience
179	"Huettel, Scott"	Psychology and Neuroscience
180	"Mitroff, Stephen"	Psychology and Neuroscience
181	"Keefe, Richard S.E."	Psychiatry & Behavioral Sciences
182	"Kollins, Scott Haden"	Psychiatry & Behavioral Sciences
183	"Addington, Nicolas Michael"	Mathematics
184	"Aspinwall, Paul Stephen"	Mathematics
185	"Adelino, Manuel Neves"	Fuqua School of Business
186	"Adibe, Obinna Ogochukwu"	Surgery
187	"Agarwal, Pankaj K."	Computer Science
188	"Yang, Jun"	Computer Science
189	"Clark, James S."	Environmental Sciences and Policy
190	"Gelfand, Alan"	Statistical Science
191	"Ahmed, Mohammad Waseem"	Physics
192	"Wu, Ying"	Physics
193	"Tornow, Werner"	Physics
194	"Ahn, Seungkirl"	Medicine
195	"Lefkowitz, Robert J."	Medicine
196	"Shenoy, Sudha Kaup"	Medicine
197	"Xiao, Kevin"	Medicine
198	"Oas, Terrence Gilbert"	Biochemistry
199	"Ake III, George Simpson"	Psychiatry
200	"Briggs-King, Ernestine Cabady"	Psychiatry
201	"Fairbank, John A."	Psychiatry
202	"Gerrity, Ellen Terese"	Psychiatry
203	"Amaya-Jackson, Lisa M."	Psychiatry
204	"Murphy, Robert A."	Psychiatry
205	"Alam, S. Munir"	Medicine
206	"Denny, Thomas Norton"	Medicine
207	"Haynes, Barton Ford"	Medicine
208	"Kelsoe, Garnett H."	Immunology
209	"Liao, Hua-Xin"	Medicine
210	"McClain, Micah Thomas"	Medicine
211	"Moody, Michael Anthony"	Pediatrics
212	"Tomaras, Georgia Doris"	Surgery
213	"Vandergrift, Nathan A."	Medicine
214	"Walter Jr., Emmanuel Benjamin"	Pediatrics
215	"Whitesides, John Franklin"	Medicine
216	"Woods, Christopher Wildrick"	Medicine
217	"Yu, Jae-Sung"	Medicine
218	"Montefiori, David Charles"	Surgery
219	"Shen, Xiaoying"	Medicine
220	"Ferrari, Guido"	Surgery
221	"Bonsignori, Mattia"	Medicine
222	"Verkoczy, Laurent Karl"	Medicine
223	"Gao, Feng"	Medicine
224	"Permar, Sallie Robey"	Pediatrics
225	"Zauscher, Stefan"	Mechanical Engineering and Materials Science
226	"Spicer, Leonard D."	Radiology
227	"Erickson, Harold Paul"	Cell Biology
228	"Ohashi, Tomoo"	Cell Biology
229	"LaBranche, Celia Crane"	Surgery
230	"Donald, Bruce Randall"	Computer Science
231	"Alberts, Susan C."	Biology
232	"Morris, William F."	Biology
233	"Pusey, Anne"	Evolutionary Anthropology
234	"Tung, Jenny"	Evolutionary Anthropology
235	"Wray, Gregory Allan"	Biology
236	"Mukherjee, Shayan"	Statistical Science
237	"Albertson, John D."	Civil and Environmental Engineering
238	"Katul, Gabriel G."	Environmental Sciences and Policy
239	"Marani, Marco"	Earth and Ocean Sciences
240	"Albright, Elizabeth A"	Environmental Sciences and Policy
241	"Alexander, Barbara Dudley"	Medicine
242	"Perfect, John Robert"	Medicine
243	"Reller, Lyman Barth"	Pathology
244	"Schell, Wiley Alexander"	Medicine
245	"Johnson, Melissa DePaoli"	Medicine
246	"Smith, Phillip Brian"	Pediatrics
247	"Zaas, Aimee Kirsch"	Medicine
248	"Benjamin Jr., Daniel Kelly"	Pediatrics
249	"Drew, Richard Howard"	Medicine
250	"Costa, Sylvia Fernandes de Castro"	Medicine
251	"Howell, David Noble"	Pathology
252	"Miller, Sara Elizabeth"	Pathology
253	"Smith, Stephen Richard"	Medicine
254	"Horan, Jennifer"	Medicine
255	"Alexander, John Hunter Peel"	Medicine
256	"Becker, Richard Clinton"	Medicine
257	"Povsic, Thomas Joseph"	Medicine
258	"Lopes, Renato Delascio"	Medicine
259	"Granger, Christopher Bull"	Medicine
260	"Rao, Sunil Vadlakonda"	Medicine
261	"Ohman, Erik Magnus"	Medicine
262	"Piccini Sr., Jonathan Paul"	Medicine
263	"Hasselblad, Victor"	Biostatistics & Bioinformatics
264	"Levy, Jerrold Henry"	Anesthesiology
265	"Smith, Peter Kent"	Surgery
266	"Newby, Laura Kristin"	Medicine
267	"Krucoff, Mitchell Wolfe"	Medicine
268	"Mathew, Joseph P."	Anesthesiology
269	"Newman, Mark Franklin"	Anesthesiology
270	"Podgoreanu, Mihai V."	Anesthesiology
271	"Al-Khalidi, Hussein Rashid"	Biostatistics & Bioinformatics
272	"Green, Jennifer Brigitte"	Medicine
273	"Thomas, Laine Elliott"	Biostatistics & Bioinformatics
274	"Glower Jr., Donald D."	Surgery
275	"Wang, Andrew"	Medicine
276	"Al-Khatib, Sana Mustapha"	Medicine
277	"Patel, Manesh Raman"	Medicine
278	"Brennan, J. Matthew"	Medicine
279	"O'Brien, Sean Michael"	Biostatistics & Bioinformatics
280	"Alexander, Karen Patton"	Medicine
281	"Roe, Matthew Todd"	Medicine
282	"Wang, Yu-Ping"	Medicine
283	"Atwater, Brett David"	Medicine
284	"Bahnson, Tristram Dan"	Medicine
285	"Daubert, James Patrick"	Medicine
286	"Harrison, Robert William"	Medicine
287	"Jones, William Schuyler"	Medicine
288	"Daneshmand, Mani Ali"	Surgery
289	"Velazquez, Eric Jose"	Medicine
290	"Tricoci, Pierluigi"	Medicine
291	"Anstrom, Kevin J."	Biostatistics & Bioinformatics
292	"Chow, Shein-Chung"	Biostatistics & Bioinformatics
293	"Lee, Kerry L."	Biostatistics & Bioinformatics
294	"Pencina, Michael J"	Biostatistics & Bioinformatics
295	"Mathews, Robin"	Medicine
296	"Allen LaPointe, Nancy Marie"	Medicine
297	"Melloni, Chiara"	Medicine
298	"Bettger, Janet Prvu"	School of Nursing
299	"Coeytaux, Remy Rene"	Community and Family Medicine
300	"Dolor, Rowena Joy"	Medicine
301	"Graffagnino, Carmelo"	Neurology
302	"Holsinger, Tracey C."	Psychiatry & Behavioral Sciences
303	"Kong, David Franklin"	Medicine
304	"Kramer, Judith Mae"	Medicine
305	"Xian, Ying"	Medicine
306	"Al-Hegelan, Mashael"	Medicine
307	"Tighe, Robert Matthew"	Medicine
308	"Cheifetz, Ira Marc"	Pediatrics
309	"Ozment, Caroline Pinson"	Pediatrics
310	"Rehder, Kyle Jason"	Pediatrics
311	"Turner, David Ashley"	Pediatrics
312	"Huang, Yuh-Chin Tony"	Medicine
313	"MacIntyre Jr., Neil Ross"	Medicine
314	"Ali-Osman, Francis"	Surgery
315	"Ilyasova, Dora"	Community and Family Medicine
316	"Paschen, Wulf"	Anesthesiology
317	"Pearlstein, Robert D."	Surgery
318	"Yang, Wei"	Anesthesiology
319	"Dewhirst, Mark Wesley"	Radiation Oncology
320	"Hernandez, Adrian Felipe"	Medicine
321	"Thomas, Kevin Lindsey"	Medicine
322	"Jones, Robert H."	Surgery
323	"Mark, Daniel Benjamin"	Medicine
324	"Schmidler, Gillian Denise  Sanders"	Medicine
325	"Kim, Raymond J."	Medicine
326	"Douglas, Pamela Susan"	Medicine
327	"Kosinski, Andrzej Stanislaw"	Biostatistics & Bioinformatics
328	"Eapen, Zubin John"	Medicine
329	"Hranitzky, Patrick M."	Medicine
330	"Koontz, Jason"	Medicine
331	"Shah, Svati Hasmukh"	Medicine
332	"Lokhnygina, Yuliya Vladimirovna"	Biostatistics & Bioinformatics
333	"Jackson, Kevin Patrick"	Medicine
334	"Hegland, Donald Dale"	Medicine
335	"Anderson, Monique"	Medicine
336	"Chatterjee, Ranee"	Medicine
337	"Dupre, Matthew Egan"	Community and Family Medicine
338	"Pun, Patrick Hank"	Medicine
339	"Eisenstein, Eric Leo"	Medicine
340	"Johnson, Frederick Salvatore"	Community and Family Medicine
341	"Allen, Andrew Scott"	Biostatistics & Bioinformatics
342	"Goldstein, David Benjamin"	Molecular Genetics and Microbiology
343	"Heinzen-Cox, Erin Lynne"	Medicine
344	"Need, Anna Christina"	Medicine
345	"Shashi, Vandana"	Pediatrics
346	"Fowler Jr., Vance Garrison"	Medicine
347	"Allen, Barry W."	Anesthesiology
348	"Piantadosi, Claude Anthony"	Medicine
349	"Kraus, William Erle"	Medicine
350	"Dahl, Jeremy"	Biomedical Engineering
351	"Trahey, Gregg E."	Biomedical Engineering
352	"Li, Yi-Ju"	Biostatistics & Bioinformatics
353	"Lien, Lillian Frances"	Medicine
354	"Lin, Pao-Hwa"	Medicine
355	"Svetkey, Laura Pat"	Medicine
356	"Blackwell, Kimberly Lynn"	Medicine
357	"Kimmick, Gretchen Genevieve"	Medicine
358	"Marcom, Paul Kelly"	Medicine
359	"Turkington, Timothy Garvey"	Radiology
360	"Pieper, Carl F."	Biostatistics & Bioinformatics
361	"Allen, Kelli Dominick"	Medicine
362	"Coffman, Cynthia Jan"	Biostatistics & Bioinformatics
363	"Datta, Santanu Kumar"	Medicine
364	"Sperber, Nina"	Medicine
365	"Strauss, Jennifer Leigh"	Psychiatry & Behavioral Sciences
366	"Yancy Jr., William Samuel"	Medicine
367	"Edelman, David Edward"	Medicine
368	"Hall, Katherine Shepherd"	Medicine
369	"Hoenig, Helen Marie"	Medicine
370	"Maciejewski, Matthew Leonard"	Medicine
371	"Voils, Corrine Ione"	Medicine
372	"Goode, Adam Payne"	Community and Family Medicine
373	"Corsino, Leonor Adalgisa"	Medicine
374	"Allen, Nancy Bates"	Medicine
375	"St. Clair, Eugene William"	Medicine
376	"Clowse, Megan Elizabeth Bowles"	Medicine
377	"Allen, Terrence Kelburn"	Anesthesiology
378	"Habib, Ashraf Samir"	Anesthesiology
379	"Small, Maria Jacqueline"	Obstetrics and Gynecology
380	"Jones, Cheryl Ann"	Anesthesiology
381	"Brown, Haywood Laverne"	Obstetrics and Gynecology
382	"Gan, Tong Joo"	Anesthesiology
383	"Muir, Holly Ann"	Anesthesiology
384	"Peterson-Layne, Cathleen Louise"	Anesthesiology
385	"Feng, Liping"	Obstetrics and Gynecology
