id,x,y,author,dept,dept_id,mod_class
0,1074.4836,18.468758,"Aballay, Alejandro",Molecular Genetics and Microbiology,40,15
1,1595.5646,539.3982,"Abdelmalek, Manal F.",Medicine,39,16
2,1495.3008,488.10303,"Choi, Steven Sok",Medicine,39,16
3,1348.8141,402.1279,"Diehl, Anna Mae",Medicine,39,16
4,1532.6155,591.46265,"Guy, Cynthia Dianne",Pathology,47,16
5,1452.3539,563.5946,"Michelotti, Gregory Alexander",Medicine,39,16
6,1418.86,443.02945,"Moylan, Cynthia Ann",Medicine,39,16
7,1206.2188,-671.26373,"Chen, Wei",Medicine,39,11
8,1577.4176,-5.5800548,"Moser, Barry Kurt",Biostatistics & Bioinformatics,9,11
9,655.1832,180.21434,"Nightingale, Kathryn Radabaugh",Biomedical Engineering,8,4
10,718.9796,211.49141,"Palmeri, Mark L.",Biomedical Engineering,8,4
11,1067.4392,1057.2292,"Pang, Herbert",Biostatistics & Bioinformatics,9,1
12,1693.9589,757.6848,"Cardona, Diana Marcella",Pathology,47,16
13,1603.2638,648.51654,"McCall, Shannon Jones",Pathology,47,16
14,586.06146,-437.6087,"Smith, Alastair Douglas",Medicine,39,0
15,-690.1343,1727.148,"Torquati, Alfonso",Surgery,68,18
16,141.51097,-759.2042,"Ashley-Koch, Allison Elizabeth",Medicine,39,8
17,1333.8894,-1343.5465,"Hauser, Michael Arthur",Medicine,39,11
18,-1024.365,1911.6173,"Murphy, Susan Kay",Obstetrics and Gynecology,44,3
19,-3001.1445,-3936.4187,"Abdulkadiroglu, Atila",Economics,24,10
20,-304.39264,1689.3577,"Abernethy, Amy Pickar",Medicine,39,15
21,-103.183174,1737.6001,"Shelby, Rebecca A",Psychiatry & Behavioral Sciences,55,15
22,-65.64545,1050.5065,"Keefe, Francis Joseph",Psychiatry & Behavioral Sciences,55,15
23,-2001.7627,1242.8241,"McCrory, Douglas Charles",Medicine,39,8
24,-213.33878,1900.2749,"Samsa, Gregory P.",Biostatistics & Bioinformatics,9,15
