id,x,y,author,dept,dept_id
0,-31.181908,354.70703,"Aballay, Alejandro",Molecular Genetics and Microbiology,40
1,-787.58044,548.3198,"Abdelmalek, Manal F.",Medicine,39
2,-627.99585,615.9073,"Choi, Steven Sok",Medicine,39
3,-533.71484,685.01855,"Diehl, Anna Mae",Medicine,39
4,-723.18884,593.1277,"Guy, Cynthia Dianne",Pathology,47
5,-776.7149,643.0884,"Michelotti, Gregory Alexander",Medicine,39
6,-504.94177,531.1784,"Moylan, Cynthia Ann",Medicine,39
7,-973.3452,411.527,"Chen, Wei",Medicine,39
8,1869.5592,1302.9855,"Moser, Barry Kurt",Biostatistics & Bioinformatics,9
9,-13.227579,787.03064,"Nightingale, Kathryn Radabaugh",Biomedical Engineering,8
10,83.063965,672.4635,"Palmeri, Mark L.",Biomedical Engineering,8
11,441.61145,1496.46,"Pang, Herbert",Biostatistics & Bioinformatics,9
12,229.90152,1649.6665,"Cardona, Diana Marcella",Pathology,47
13,64.822075,822.5486,"McCall, Shannon Jones",Pathology,47
14,809.56726,-1771.2751,"Smith, Alastair Douglas",Medicine,39
15,2859.992,-1022.0649,"Torquati, Alfonso",Surgery,68
16,-434.5611,827.7441,"Ashley-Koch, Allison Elizabeth",Medicine,39
17,-892.4832,778.07996,"Hauser, Michael Arthur",Medicine,39
18,1511.8074,224.31802,"Murphy, Susan Kay",Obstetrics and Gynecology,44
19,-320.28674,-1033.6938,"Abdulkadiroglu, Atila",Economics,24
20,1333.7129,22.241621,"Abernethy, Amy Pickar",Medicine,39
21,1088.9865,-1083.2106,"Shelby, Rebecca A",Psychiatry & Behavioral Sciences,55
22,991.52716,-1066.3196,"Keefe, Francis Joseph",Psychiatry & Behavioral Sciences,55
23,1913.9908,-548.23047,"McCrory, Douglas Charles",Medicine,39
24,1203.2773,-347.2221,"Samsa, Gregory P.",Biostatistics & Bioinformatics,9
25,802.17847,240.2848,"Uronis, Hope Elizabeth",Medicine,39
26,2089.625,-848.804,"Morgan, Perri Anne",Community and Family Medicine,14
27,97.96001,-1215.3751,"Olsen, Maren Karine",Biostatistics & Bioinformatics,9
28,2593.7207,-904.7639,"Pollak, Kathryn IIonka",Community and Family Medicine,14
29,2478.457,-987.05304,"Strand de Oliveira, Justine",Community and Family Medicine,14
30,1182.8455,-63.319065,"Tulsky, James Aaron",Medicine,39
31,757.0745,113.12498,"LeBlanc, Thomas William",Medicine,39
32,-220.87184,2162.9915,"Herndon II, James Emmett",Biostatistics & Bioinformatics,9
33,570.6834,862.7102,"Lyerly, Herbert Kim",Surgery,68
34,1768.7468,178.55168,"Cox, Christopher Ethan",Medicine,39
35,1252.9396,-204.98505,"Kamal, Arif H",Medicine,39
36,1045.6155,156.87221,"Hirsch, Bradford R",Medicine,39
37,1216.0944,-584.54236,"Seewaldt, Victoria Louise",Medicine,39
38,916.4635,2577.4258,"Nelson, Kelly Carter",Dermatology,18
39,-2349.0442,250.99852,"Hendrix, Cristina Cu",School of Nursing,63
40,640.2597,-1279.3022,"Landerman, Lawrence Richard",Medicine,39
41,1087.288,1062.0984,"Ginsburg, Geoffrey Steven",Medicine,39
42,449.49164,1897.5459,"Blazer III, Dan German",Surgery,68
43,369.16187,-1552.9309,"Blazer, Daniel German",Psychiatry & Behavioral Sciences,55
44,1392.916,737.18054,"Mosca, Paul Joseph",Surgery,68
45,868.69684,-408.28058,"Taylor Jr., Donald H.",Sanford School of Public Policy,61
46,992.1135,159.90945,"Zafar, Syed Yousuf",Medicine,39
47,869.70776,752.7547,"Peppercorn, Jeffrey Matthew",Medicine,39
48,1293.129,-333.50967,"Gradison, Margaret",Community and Family Medicine,14
49,369.3259,128.70114,"Flynn, Kathryn Eve",Psychiatry & Behavioral Sciences,55
50,1049.7079,-1005.3667,"Porter, Laura Streamo",Psychiatry & Behavioral Sciences,55
51,1490.7451,-441.10492,"Weinfurt, Kevin Phillip",Psychiatry & Behavioral Sciences,55
52,421.94333,782.1402,"Salama, April Kelly Scott",Medicine,39
53,930.9397,2703.9958,"Selim, Maria Angelica",Pathology,47
54,1766.0348,1194.8267,"Tyler, Douglas Scott",Surgery,68
55,2385.4934,-373.1066,"Curtis, Lesley Huntley",Medicine,39
56,-844.7664,1433.4188,"Patz Jr., Edward F.",Radiology,58
57,1996.1729,-146.67778,"Schulman, Kevin Alan",Medicine,39
58,2759.3975,23.746325,"O'Connor, Christopher Michael",Medicine,39
59,2348.2468,200.49431,"Rogers, Joseph G.",Medicine,39
60,826.2138,-753.37537,"Koenig, Harold G.",Psychiatry & Behavioral Sciences,55
61,895.588,67.54048,"Pruitt, Scott Knowles",Surgery,68
62,508.4442,470.23578,"Scheri, Randall Paul",Surgery,68
63,1429.0135,-377.3088,"Bosworth, Hayden Barry",Medicine,39
64,893.63525,-646.69293,"Bartlett, John Alexander",Medicine,39
65,893.9539,643.0558,"Zullig, Leah L",Medicine,39
66,1698.4486,101.82147,"Berchuck, Andrew",Obstetrics and Gynecology,44
67,2141.048,-529.6041,"Havrilesky, Laura Jean",Obstetrics and Gynecology,44
68,2095.3381,-382.2139,"Lee, Paula Sowon",Obstetrics and Gynecology,44
69,2163.1826,-443.38632,"Secord, Angeles Alvarez",Obstetrics and Gynecology,44
70,1920.0547,-448.65024,"Valea, Fidel Arthur",Obstetrics and Gynecology,44
71,2757.7993,-238.95312,"Califf, Robert M.",Medicine,39
72,229.88669,859.65356,"George, Daniel James",Medicine,39
73,576.0301,1038.3057,"Harrison, Michael Roger",Medicine,39
74,1135.0948,-983.2874,"Somers, Tamara J.",Psychiatry & Behavioral Sciences,55
75,1942.556,128.61557,"Abou-Donia, Mohamed Bahie",Pharmacology & Cancer Biology,49
76,458.1039,170.1896,"Abraham, Dennis M",Medicine,39
77,-1247.187,1420.0958,"Bursac, Nenad",Biomedical Engineering,8
78,1055.8324,410.29904,"Rockman, Howard Allan",Medicine,39
79,527.34534,328.00183,"Wolf, Matthew Joseph",Medicine,39
80,885.3544,551.56366,"Mao, Lan",Medicine,39
81,1633.0581,1095.458,"Marchuk, Douglas Alan",Molecular Genetics and Microbiology,40
82,1562.5928,1041.3263,"Abraham, Soman Ninan",Pathology,47
