edge_id,source,target,weight
0,0,1,1
1,0,2,2
2,1,2,10
3,1,3,1
4,2,3,4
5,2,4,1
6,3,4,3
7,3,5,9
8,4,5,3
9,2,6,1
10,3,6,8
11,4,6,3
12,5,6,7
13,2,7,2
14,3,7,3
15,4,7,1
16,5,7,2
17,6,7,1
18,3,8,4
19,4,8,3
20,5,8,3
21,6,8,3
22,7,8,2
23,3,9,4
24,4,9,3
25,5,9,4
26,6,9,4
27,7,9,1
28,8,9,3
29,3,10,4
30,4,10,3
31,5,10,4
32,6,10,4
33,7,10,3
34,8,10,3
35,9,10,3
36,1,11,2
37,2,11,4
38,3,11,4
39,4,11,3
40,5,11,3
41,6,11,3
42,7,11,1
43,8,11,5
44,9,11,3
45,10,11,3
46,2,12,4
47,3,12,13
48,4,12,2
49,5,12,6
50,6,12,6
51,7,12,2
52,8,12,2
53,9,12,2
54,10,12,3
55,11,12,2
56,3,15,1
57,12,15,1
58,14,15,1
59,1,16,2
60,2,16,1
61,5,16,1
62,14,16,1
63,15,16,1
64,14,17,1
65,15,17,1
66,16,17,1
67,2,18,1
68,14,18,1
69,15,18,2
70,16,18,2
71,17,18,1
72,14,19,2
73,15,19,1
74,16,19,1
75,17,19,1
76,18,19,1
77,14,20,1
78,15,20,1
79,16,20,1
80,17,20,1
81,18,20,1
82,19,20,1
83,14,21,1
84,15,21,1
85,16,21,1
86,17,21,1
87,18,21,1
88,19,21,1
89,20,21,1
90,2,22,1
91,8,22,1
92,14,22,1
93,15,22,1
94,16,22,9
95,17,22,1
96,18,22,3
97,19,22,1
98,20,22,1
99,21,22,1
100,3,23,1
101,12,23,1
102,14,23,1
103,15,23,3
104,16,23,3
105,17,23,1
106,18,23,1
107,19,23,1
108,20,23,1
109,21,23,1
110,22,23,2
111,14,24,1
112,15,24,1
113,16,24,3
114,17,24,1
115,18,24,1
116,19,24,2
117,20,24,1
118,21,24,1
119,22,24,5
120,23,24,3
121,1,25,3
122,2,25,2
123,4,25,1
124,7,25,1
125,12,25,1
126,14,25,1
127,15,25,1
128,16,25,4
129,17,25,1
130,18,25,2
131,19,25,1
132,20,25,1
133,21,25,1
134,22,25,5
135,23,25,3
136,24,25,2
137,14,26,1
138,15,26,2
139,16,26,1
140,17,26,1
141,18,26,1
142,19,26,1
143,20,26,1
144,21,26,1
145,22,26,1
146,23,26,3
147,24,26,1
148,25,26,2
149,14,27,1
150,15,27,1
151,16,27,5
152,17,27,1
153,18,27,3
154,19,27,3
155,20,27,1
156,21,27,1
157,22,27,6
158,23,27,3
159,24,27,6
160,25,27,3
161,26,27,2
162,14,28,1
163,15,28,1
164,16,28,2
165,17,28,1
166,18,28,1
167,19,28,1
168,20,28,1
169,21,28,1
170,22,28,2
171,23,28,2
172,24,28,2
173,25,28,1
