id,r,x,y,orig_id,forum,mod_class,component_id
0,20.67114,105.110664,-1058.6804,0,embo reports,0,0
1,44.315952,-707.1249,-1080.6343,1,science,0,0
2,48.291172,-125.09964,-1383.4004,2,journal of biological chemistry,0,0
3,36.572018,54.589977,-2295.3323,3,hepatology,0,0
4,23.923594,79.47573,-998.7361,4,journal of pathology,0,0
5,27.38255,-422.3492,-1329.4614,5,journal of hepatology,0,0
6,23.871967,432.84744,-1041.6487,6,gut,0,0
7,32.18379,1348.0872,-2374.2432,7,american journal of transplantation,0,0
8,27.847187,-214.63129,-1497.5082,8,human pathology,3,0
9,23.200827,-633.3932,-84.68821,9,clinical gastroenterology and hepatology,0,0
10,23.613836,106.229195,-1195.37,10,liver international,0,0
11,33.061436,-587.0258,212.77124,11,the faseb journal,0,0
12,32.080536,413.87967,-2367.4297,12,gastroenterology,0,0
13,20.103252,1170.2646,1795.5596,13,the quarterly journal of economics,2,0
14,23.97522,-855.63116,-1347.4761,14,journal of pain and palliative care pharmacotherapy,3,0
15,37.449665,624.8673,-1884.3861,15,bmc public health,1,0
16,33.93908,-286.50397,-1122.381,16,supportive care in cancer,3,0
17,22.994322,-295.87405,-808.06525,17,pharmaceutical medicine,3,0
18,31.306145,684.7318,-2039.6663,18,translational behavioral medicine,1,0
19,26.453278,1660.669,-1634.8816,19,cochrane database of systematic reviews,3,0
20,22.994322,-194.59262,-1990.6534,20,bmc pulmonary medicine,3,0
21,22.994322,-498.34024,-1117.9551,21,progress in palliative care,3,0
22,34.971603,-35.77979,-1379.1158,22,"psycho-oncology: journal of the psychological, social and behavioral dimensions of cancer",3,0
23,31.719154,-292.10822,-1220.8378,23,gynecologic oncology,3,0
24,28.105316,-958.7064,-1852.5612,24,journal of palliative medicine,3,0
25,36.520393,-381.85666,-1292.4989,25,journal of the national comprehensive cancer network : jnccn,3,0
26,26.246773,233.14755,-1774.5919,26,european journal of cancer,3,0
27,33.577698,870.7354,-1861.9163,27,journal of pain and symptom management,1,0
28,23.717089,-587.7514,-1335.5782,28,palliative medicine,3,0
29,33.422817,770.0179,-1138.01,29,american journal of preventive medicine,1,0
30,24.078472,28.363855,-1754.7773,30,current opinion in supportive and palliative care,3,0
31,26.96954,-166.22842,-1113.3395,31,seminars in oncology,3,0
32,22.994322,-708.062,-932.26337,32,medical journal of australia,3,0
33,25.162622,-415.2592,-1909.179,33,the cancer journal,3,0
34,36.365513,-772.1714,-1315.8964,34,breast cancer research and treatment,3,0
35,26.55653,-165.35205,-1468.3661,35,current oncology reports,3,0
36,26.55653,-114.828064,-1803.405,36,journal of the american academy of dermatology,3,0
37,28.931337,-1062.8362,-1033.0779,37,journal of oncology practice,3,0
