source,target,weight
2,3,0.20097
2,4,0.24581
2,5,0.16037
2,6,0.18227
2,7,0.40887
2,13,0.38425
2,16,0.3746
3,2,0.20097
3,4,0.47352
3,5,0.16054
3,6,0.66728
3,7,0.19418
3,8,0.35142
3,16,0.35848
3,19,0.38669
4,2,0.24581
4,3,0.47352
4,5,0.17773
4,6,0.41145
4,7,0.44518
4,16,0.37134
5,2,0.16037
5,3,0.16054
5,4,0.17773
5,6,0.15405
5,7,0.41865
5,16,0.38565
5,43,0.13511
6,2,0.18227
6,3,0.66728
6,4,0.41145
6,5,0.15405
6,7,0.22654
6,8,0.36275
6,14,0.13366
6,19,0.13937
6,45,0.36028
7,2,0.40887
7,3,0.19418
7,4,0.44518
7,5,0.41865
7,6,0.22654
7,8,0.38234
7,14,0.21003
7,19,0.36969
7,38,0.37571
8,3,0.35142
8,6,0.36275
8,7,0.38234
8,14,0.13417
8,34,0.17382
9,13,0.13144
10,11,0.3269
11,10,0.3269
12,37,0.36833
13,2,0.38425
13,9,0.13144
14,6,0.13366
14,7,0.21003
14,8,0.13417
14,38,0.36498
16,2,0.3746
16,3,0.35848
16,4,0.37134
16,5,0.38565
17,18,0.17092
18,17,0.17092
19,3,0.38669
19,6,0.13937
19,7,0.36969
21,26,0.12263
21,31,0.36834
21,32,0.36314
21,33,0.37343
21,36,0.28682
21,37,0.25006
21,39,0.3718
21,47,0.1806
21,48,0.27318
22,23,0.24274
22,31,0.35937
22,32,0.20979
23,22,0.24274
23,31,0.38063
24,25,0.37562
24,31,0.36264
25,24,0.37562
25,28,0.36994
26,21,0.12263
26,37,0.14201
26,47,0.15228
27,29,0.35376
27,50,0.2009
28,25,0.36994
28,29,0.15025
28,31,0.14938
29,27,0.35376
29,28,0.15025
29,31,0.14783
31,21,0.36834
31,22,0.35937
31,23,0.38063
31,24,0.36264
31,28,0.14938
31,29,0.14783
31,32,0.38326
32,21,0.36314
32,22,0.20979
32,31,0.38326
33,21,0.37343
33,34,0.16404
33,36,0.35613
33,37,0.35697
33,38,0.15588
33,47,0.35333
33,48,0.1399
34,8,0.17382
34,33,0.16404
34,38,0.36394
36,21,0.28682
36,33,0.35613
36,37,0.33939
36,47,0.14253
36,48,0.28309
37,12,0.36833
37,21,0.25006
37,26,0.14201
37,33,0.35697
37,36,0.33939
37,47,0.16962
37,48,0.29453
38,7,0.37571
38,14,0.36498
38,33,0.15588
38,34,0.36394
39,21,0.3718
41,44,0.36578
43,5,0.13511
44,41,0.36578
45,6,0.36028
47,21,0.1806
47,26,0.15228
47,33,0.35333
47,36,0.14253
47,37,0.16962
47,48,0.20263
48,21,0.27318
48,33,0.1399
48,36,0.28309
48,37,0.29453
48,47,0.20263
50,27,0.2009
