id,x,y
1,1206.0409,-2292.0068
2,2062.5051,2054.8003
3,2233.6658,1237.7372
4,2073.3088,1852.0338
5,2112.7764,2151.849
6,2125.5999,272.15427
7,1176.4406,-9.231387
8,2465.3435,-859.02185
9,1502.2609,-371.0619
10,2186.3584,3022.8162
11,2073.5742,3288.7922
12,2000.2572,1006.8937
13,1024.3173,-208.86353
14,1399.5175,-1799.1469
15,191.8243,357.82828
16,1603.7817,2139.4023
17,1601.0165,576.1087
18,1704.7605,293.04846
19,2190.1433,1141.3774
20,-3115.8948,-2230.915
21,1995.7961,715.1253
22,205.45065,2271.904
23,287.00824,2164.2405
24,1558.3276,1038.542
25,731.68805,965.98773
26,1770.2178,-689.0078
27,-1888.2511,-1011.86365
28,-81.90718,1790.621
29,-258.21918,1412.476
30,-2431.6504,1232.1818
31,-525.31775,1614.5824
32,-639.8885,998.5554
33,2979.308,252.90324
34,2430.9048,-1208.6477
35,-200.41922,-1617.9346
36,2521.7405,893.836
37,2329.8486,524.85693
38,1864.1565,-564.1383
39,1253.8923,1044.2437
40,-768.5961,-111.26402
41,-591.7056,2261.7969
42,836.9377,570.48694
43,1213.7648,931.7443
44,531.14923,2861.1685
45,1319.9182,-1239.7878
46,-5174.02,1225.0863
47,2486.9395,769.08606
48,2314.4995,920.32043
49,-700.12085,-21.236975
50,-2683.8618,-2779.6335
