edge_id,source,target,weight
0,1,2,0.79269
1,1,3,0.52312
2,2,3,0.54635
3,1,4,0.74671
4,2,4,0.89689
5,3,4,0.55237
6,1,5,0.57115
7,2,5,0.45225
8,3,5,0.47908
9,4,5,0.4236
10,1,6,0.45491
11,2,6,0.44457
12,3,6,0.39243
13,4,6,0.44221
14,5,6,0.48863
15,1,7,0.4215
16,2,7,0.41552
17,3,7,0.38202
18,4,7,0.41404
19,5,7,0.44153
20,6,7,0.37391
21,9,10,0.45458
22,1,11,0.35344
23,2,11,0.36079
24,3,11,0.37451
25,4,11,0.36272
26,6,11,0.34775
27,7,11,0.34582
28,8,11,0.35694
29,1,12,0.38603
30,2,12,0.38271
31,3,12,0.371
32,4,12,0.3843
33,5,12,0.38736
34,6,12,0.37286
35,1,13,0.38531
36,2,13,0.38274
37,3,13,0.36932
38,4,13,0.38286
39,5,13,0.39209
40,6,13,0.50735
41,7,13,0.49773
42,11,13,0.34449
43,12,13,0.43196
44,1,15,0.35475
45,2,15,0.35746
46,3,15,0.3624
47,4,15,0.35789
48,3,16,0.36692
49,3,17,0.36545
50,12,18,0.34525
51,21,22,0.42084
52,20,24,0.38838
53,20,25,0.36279
54,24,25,0.36788
55,15,26,0.32105
56,20,27,0.3638
57,24,27,0.36825
58,25,27,0.35804
59,15,28,0.44647
60,20,28,0.36313
61,24,28,0.35322
62,25,28,0.28199
63,26,28,0.38523
64,15,29,0.36788
65,26,29,0.2667
66,28,29,0.48776
67,20,30,0.40543
68,23,30,0.35039
69,24,30,0.24332
70,25,30,0.36419
71,27,30,0.36675
72,28,30,0.35673
73,20,31,0.36788
74,21,31,0.34319
75,24,31,0.41124
76,25,31,0.41726
77,30,31,0.40386
78,20,33,0.37317
79,25,33,0.35004
80,31,33,0.35176
81,30,34,0.34755
82,20,35,0.41778
83,24,35,0.52959
84,25,35,0.36054
85,27,35,0.36144
86,28,35,0.35552
87,30,35,0.56651
88,31,35,0.39473
89,33,35,0.37034
90,20,36,0.37897
91,24,36,0.51131
92,25,36,0.39582
93,27,36,0.35179
94,30,36,0.51431
95,31,36,0.46593
96,33,36,0.36828
97,34,36,0.34165
98,35,36,0.48419
99,18,37,0.36788
100,12,38,0.30208
101,23,39,0.29481
102,12,42,0.38552
103,40,43,0.39102
104,5,44,0.34994
105,6,44,0.3633
106,20,45,0.37611
107,24,45,0.46509
108,25,45,0.38852
109,27,45,0.34312
110,30,45,0.47132
111,31,45,0.43522
112,33,45,0.34653
113,35,45,0.45128
114,36,45,0.24557
115,20,46,0.36686
116,22,46,0.36209
117,24,46,0.40067
118,25,46,0.44194
119,30,46,0.39737
120,31,46,0.13792
121,33,46,0.36941
122,35,46,0.38906
123,36,46,0.48265
124,45,46,0.42978
125,20,47,0.37082
126,22,47,0.36203
127,24,47,0.36771
128,25,47,0.35688
129,30,47,0.39378
130,31,47,0.3679
131,33,47,0.36978
132,35,47,0.40125
133,36,47,0.18467
134,46,47,0.44568
135,18,48,0.34621
136,0,49,0.36933
137,25,49,0.36054
138,21,50,0.51645
139,22,50,0.43251
140,46,50,0.33639
141,49,50,0.33419
142,48,51,0.36469
143,36,52,0.34803
144,47,52,0.35333
145,49,52,0.36483
146,12,53,0.34032
147,38,53,0.44238
148,44,54,0.36288
149,15,55,0.36585
150,20,55,0.37655
151,28,55,0.36194
152,35,55,0.36788
153,16,56,0.3586
154,20,57,0.3631
155,48,57,0.35864
156,51,57,0.4244
157,55,57,0.40965
158,51,58,0.33634
159,55,58,0.37795
160,55,59,0.3642
161,58,59,0.3951
162,51,60,0.36331
163,13,62,0.35909
164,25,62,0.3684
165,26,62,0.35166
166,49,62,0.39618
